cell_id,cell-type,cell disease state,tissue,tissue disease state,source,st technology,caption
aahfknkh-1,cultured cell.,nondisease,Ovary,nondisease,Human,Xenium,"[Image Pair 1]: This non-cancerous cultured cell from the human ovary demonstrates a round-to-oval shape with well-defined borders and moderate cytoplasmic volume. The centrally located nucleus is stained dark purple, indicating active transcription. The cellular arrangement suggests a healthy, proliferative state, supporting tissue maintenance and function."
aahmknlj-1,epithelial cell of lower respiratory tract.,nondisease,Ovary,nondisease,Human,Xenium,"[Image Pair 2]: This non-cancerous lower respiratory tract epithelial cell shows a polygonal shape with slightly ovoid nuclei and moderate cytoplasm. The intact nuclear envelope and uniform chromatin suggest active participation in barrier and secretory functions, without malignant features."
aajhepjm-1,neutrophil.,nondisease,Ovary,nondisease,Human,Xenium,"[Image Pair 3]: This non-cancerous neutrophil in human ovary tissue features a multi-lobed nucleus and scant, pale cytoplasm. The distinct nuclear segmentation and granular texture reflect its specialized role in rapid immune response and phagocytosis of pathogens."
aalpebgd-1,epithelial cell of lower respiratory tract.,nondisease,Ovary,nondisease,Human,Xenium,[Image Pair 4]: This lower respiratory tract epithelial cell displays a cuboidal-polygonal shape with round nuclei and moderate cytoplasm. The closely packed arrangement supports its function as a protective barrier and facilitator of selective transport in the ovary tissue environment.
aapmcgdl-1,epithelial cell of lower respiratory tract.,nondisease,Ovary,nondisease,Human,Xenium,"[Image Pair 5]: This lower respiratory tract epithelial cell, present in non-cancerous ovarian tissue, has a rounded to polygonal morphology with a central nucleus and visible cytoplasm. The uniform nuclear staining and preserved cellular architecture indicate effective epithelial function in maintaining tissue homeostasis."
abdnikcn-1,goblet cell.,nondisease,Ovary,nondisease,Human,Xenium,"[Image Pair 6]: This non-cancerous goblet cell, identified in ovarian tissue, exhibits a distended, oval shape with pale-staining cytoplasm indicative of abundant mucin granules. The eccentric nucleus is displaced peripherally, consistent with mucus-secreting function for local mucosal protection."
abdppfbb-1,epithelial cell of lower respiratory tract.,nondisease,Ovary,nondisease,Human,Xenium,[Image Pair 7]: This non-cancerous lower respiratory tract epithelial cell demonstrates a regular polygonal contour and centrally placed nucleus surrounded by moderate cytoplasm. The cohesive cellular arrangement and chromatin pattern reflect healthy epithelial barrier function.
abicbcee-1,intestinal epithelial cell.,nondisease,Ovary,nondisease,Human,Xenium,"[Image Pair 8]: This non-cancerous intestinal epithelial cell in ovarian tissue is columnar with basally oriented, elongated nuclei and abundant apical cytoplasm, supporting its absorptive and barrier roles. The cell demonstrates polarity typical of healthy intestinal epithelium."
abkkhdma-1,intestinal epithelial cell.,nondisease,Ovary,nondisease,Human,Xenium,"[Image Pair 9]: This non-cancerous intestinal epithelial cell displays round-to-polygonal shape and darkly stained, oval nucleus with clear cytoplasm. The preserved morphology supports its active function in absorption and mucosal integrity in ovarian tissue context."
acbncnjm-1,epithelial cell.,nondisease,Ovary,nondisease,Human,Xenium,[Image Pair 10]: This non-cancerous epithelial cell from the ovary shows a rounded-to-polygonal shape with centrally located nucleus and moderate cytoplasm. The cellular organization and intact nuclear-cytoplasmic features indicate a functional epithelial barrier serving tissue protection and support.
