cell_id,cell-type,cell disease state,tissue,tissue disease state,source,st technology,caption
aaabocbm-1,fibroblast.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 1]: This single cell is a non-cancerous fibroblast from the human prostate, visualized using Xenium spatial transcriptomics. The cell exhibits an elongated, spindle-shaped morphology with a small, oval nucleus and abundant pale cytoplasm. Fibroblasts are responsible for synthesizing and maintaining the extracellular matrix, providing structural support to the surrounding stromal tissue."
aacdgigd-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 2]: This non-cancerous epithelial cell of the lower respiratory tract displays a polygonal shape with prominent cell junctions and a round, basally located nucleus. In the prostate tissue section, these epithelial cells form tightly packed layers, functioning as a protective barrier and facilitating selective secretion and absorption."
aaiondjo-1,endothelial cell.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 3]: The imaged non-cancerous endothelial cell has an elongated, flattened structure with a thin, dark-staining nucleus. Resident within the human prostate, endothelial cells line blood vessels, serving as a selective barrier for molecular exchange and maintaining vascular homeostasis in the tissue."
abaonhac-1,B cell.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 4]: This non-cancerous B cell demonstrates a small, round profile with a dense, basophilic nucleus and scant cytoplasm. Scattered within the prostate microenvironment, B cells are part of the adaptive immune response, responsible for antibody production and immune surveillance."
abbgjmna-1,"CD4-positive, alpha-beta T cell.",nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 5]: This cell is a non-cancerous CD4-positive, alpha-beta T cell, showing a small, round morphology with a compact nucleus and minimal cytoplasm. Distributed in the prostate stroma, CD4-positive T cells coordinate cellular immune responses, supporting immune regulation and tissue homeostasis."
abcfpbob-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 6]: This non-cancerous epithelial cell of the lower respiratory tract displays a cuboidal shape with distinct cell borders and centrally located nuclei. Arranged in cohesive layers within the prostate section, these epithelial cells contribute to barrier integrity and tissue protection."
abeiface-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 7]: The epithelial cell of the lower respiratory tract visible here has a rounded, cuboidal appearance with prominent nuclei and distinct cell boundaries. In the prostate context, such epithelial cells organize into glandular structures, supporting secretion and absorption."
abfnjplo-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 8]: This is a non-cancerous epithelial cell of the lower respiratory tract, characterized by polygonal shape, apical-basal polarity, and a round, centrally positioned nucleus. Epithelial cells form continuous sheets in the glandular prostate, ensuring selective permeability and barrier defense."
abhdgmik-1,epithelial cell of proximal tubule.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 9]: This cell is a non-cancerous epithelial cell of the proximal tubule, showing a cuboidal morphology with abundant cytoplasm and a round nucleus. Although the native context is renal, in the prostate section, such epithelial cells support absorptive and secretory functions within glandular structures."
abocakca-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 10]: This non-cancerous epithelial cell of the lower respiratory tract is polygonal with an oval nucleus and well-defined cell borders. Within the human prostate, these epithelial cells form organized glandular layers and participate in tissue maintenance and barrier function."
abpmhgio-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 1]: This non-cancerous lower respiratory tract epithelial cell in human prostate tissue shows a columnar shape with a centrally positioned, oval nucleus, and well-defined borders. The cell contributes to the lining of glandular structures, facilitating secretion and barrier functions, as confirmed by Xenium spatial transcriptomics imaging."
acmibkgp-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 2]: This non-cancerous lower respiratory tract epithelial cell in prostate tissue appears cuboidal with a prominent, round nucleus and minimal cytoplasm. These cells are organized in cohesive layers, maintaining the glandular integrity and promoting selective secretion and protection."
acminkan-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 3]: This non-cancerous lower respiratory tract epithelial cell in the prostate displays polygonal contours, a centrally located nucleus, and distinct cell margins. The morphology supports a function in forming a protective monolayer and assisting in controlled luminal transport."
acndnejf-1,glial cell.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 4]: This non-cancerous glial cell in human prostate tissue has a small, round to oval nucleus with scant cytoplasm and indistinct cell boundaries, characteristics typical of supportive glial elements involved in regulating the local microenvironment."
acpdjagk-1,epithelial cell of proximal tubule.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 5]: This non-cancerous proximal tubule epithelial cell in the prostate is cuboidal, with abundant granular cytoplasm and a round, basally oriented nucleus. Its morphology is suited for resorptive and secretory processes essential to glandular tissue homeostasis."
adhdjdpm-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 6]: This non-cancerous lower respiratory tract epithelial cell in the prostate is round to oval, with a moderate amount of cytoplasm and an eccentrically located nucleus. It helps establish a selective barrier while enabling secretion within glandular epithelium."
aecbdcmd-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 7]: This non-cancerous lower respiratory tract epithelial cell in prostate tissue presents a polygonal shape, a centrally located nucleus, and clear, cell-to-cell junctions that maintain the integrity and secretory function of the glandular epithelium."
aeejfipl-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 8]: This non-cancerous lower respiratory tract epithelial cell in the prostate is columnar in outline, with a basally placed, elongated nucleus. It is well-suited to contribute to the surface lining and specialized secretory functions of glandular structures."
aegafhdc-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 9]: This non-cancerous lower respiratory tract epithelial cell in prostate tissue features a cuboidal shape, distinct cell borders, and a centrally placed round nucleus. The cell morphology supports barrier function while enabling regulated secretion."
aehcihoe-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 10]: This non-cancerous lower respiratory tract epithelial cell in the prostate displays a columnar outline, prominent oval nucleus, and apparent cell polarity, critical for unidirectional secretion and structural stability within glandular ducts."
aejkkahm-1,native cell.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 1]: This non-cancerous native prostate cell appears cuboidal to columnar in shape, with a centrally located round nucleus and moderate cytoplasm. Arranged in cohesive single layers lining glandular lumens, these epithelial cells contribute to the secretion of prostatic fluid, essential for reproductive function and normal gland maintenance."
aejnaicb-1,native cell.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 2]: This single non-cancerous prostate epithelial cell exhibits a polygonal to cuboidal shape with a distinct round nucleus and ample cytoplasm. Such cells are organized in glandular acini, functioning in the synthesis and secretion of seminal fluid components vital for human reproduction."
aekbignp-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 3]: This non-cancerous epithelial cell, though characteristic of the lower respiratory tract, appears cuboidal with a rounded nucleus and moderate cytoplasm. In the prostate, such an epithelial morphology lines glandular ducts, participating in secretory and protective functions within the gland."
aepcjcnf-1,endothelial cell.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 4]: This non-cancerous endothelial cell displays an elongated, flattened shape with a centrally positioned nucleus, lining the lumen of blood vessels in the prostate. Its thin cytoplasmic extensions form a selective barrier, regulating exchange between the bloodstream and surrounding tissue to maintain glandular homeostasis."
afcijjjh-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 5]: This non-cancerous epithelial cell, morphologically similar to lower respiratory tract epithelium, is cuboidal with a round, prominent nucleus and moderate cytoplasm. As part of the prostate gland lining, it aids in producing protective and nutritive secretions for the prostate environment."
afcjdjen-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 6]: This non-cancerous epithelial cell, resembling those of the lower respiratory tract, presents as a cuboidal cell with a central nucleus and moderate cytoplasm. Located in the prostate glandular lining, it is specialized for secretion and barrier formation, supporting prostate function."
afjojoib-1,epithelial cell of proximal tubule.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 7]: This non-cancerous proximal tubule epithelial cell displays a cuboidal morphology with a round, centrally located nucleus and granular cytoplasm. Although characteristic of renal tissue, within this sample, such a cell would support absorption and selective molecular transport in glandular structures."
afonmkog-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 8]: This non-cancerous epithelial cell of lower respiratory tract phenotype shows cuboidal shape, round nucleus, and dense cytoplasm. In the prostate gland, it contributes to maintaining ductal barrier integrity and secretory activity necessary for gland physiology."
agaopeie-1,epithelial cell of lower respiratory tract.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 9]: This non-cancerous lower respiratory tract-type epithelial cell in the prostate shows a cuboidal outline, pronounced nucleus, and moderate cytoplasm, aligning within glandular acini to support both secretion and luminal defense."
agcokmcn-1,glial cell.,nondisease,Prostate,nondisease,Human,Xenium,"[Image Pair 10]: This non-cancerous glial cell, present in the prostate, displays a small, oval nucleus with scant cytoplasm and a supportive matrix. Glial cells provide trophic support, modulate local signaling, and help maintain the microenvironment essential for glandular tissue health."
