cell_id,cell-type,cell disease state,tissue,tissue disease state,source,st technology,caption
aaohmmlp-1,cardiac muscle myoblast.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 1]: This single cell is a non-cancerous cardiac muscle myoblast from a mouse femur, imaged with Xenium spatial transcriptomics. It displays an oval, centrally located nucleus and moderate cell size, with scant cytoplasm. In the tissue section, myoblasts are identifiable within muscle bundles, serving as progenitor cells critical for muscle repair and regeneration, but not typically present in high abundance in femoral bone."
admgooik-1,macrophage.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 2]: This single cell is a non-cancerous macrophage from the mouse femur, visualized with Xenium spatial transcriptomics. Macrophages are round to oval with abundant, lightly stained cytoplasm and an eccentric nucleus. In the patch, these cells are dispersed among dense hematopoietic cells, where they function in phagocytosis, debris clearance, and immune surveillance within the bone marrow."
adnhlehj-1,macrophage.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 3]: This single cell is a non-cancerous macrophage from mouse femur, obtained via Xenium spatial transcriptomics. Macrophages are moderate-to-large, round cells with pale, granular cytoplasm and a single kidney-shaped or eccentric nucleus. In the tissue, they reside among marrow cells, providing essential functions in innate immunity and tissue remodeling."
afemibeb-1,cardiac muscle myoblast.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 4]: This single cell is a non-cancerous cardiac muscle myoblast from mouse femur, imaged via Xenium spatial transcriptomics technology. The cell has an oval nucleus and limited cytoplasm, reflecting an undifferentiated, progenitor phenotype. In the tissue section, such myoblasts appear dispersed along muscle fibers, contributing to regeneration and myogenic differentiation when activated."
afemiklm-1,endothelial cell.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 5]: This single cell is a non-cancerous endothelial cell from mouse femur, captured with Xenium spatial transcriptomics. Endothelial cells are small, elongated, and flattened, with a central nucleus and scant cytoplasm. In bone marrow tissue, they line the blood vessels, playing a vital role in forming a selective barrier for blood-tissue exchange and maintaining marrow vascular integrity."
afgcdggl-1,erythrocyte.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 6]: This single cell is a non-cancerous erythrocyte from mouse femur, imaged with Xenium spatial transcriptomics. Erythrocytes are small, round, and biconcave, lacking nuclei and organelles. In the marrow, they appear as densely packed, pale red cells, essential for oxygen transport throughout the body."
afgeanpf-1,neutrophil.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 7]: This single cell is a non-cancerous neutrophil from the mouse femur, visualized with Xenium spatial transcriptomics. Neutrophils are moderately sized, with a characteristic multi-lobed nucleus and pale cytoplasm. In the tissue, they appear in clusters, functioning as primary responders in innate immunity and phagocytosis."
afgjljpl-1,neutrophil.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 8]: This single cell is a non-cancerous neutrophil from the mouse femur, captured via Xenium spatial transcriptomics. Neutrophils are small-to-medium cells with multilobed nuclei and faintly granular cytoplasm. Within the tissue, they are abundant within the marrow matrix, crucial for rapid response to infection and microbial clearance."
afgkaekb-1,megakaryocyte.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 9]: This single cell is a non-cancerous megakaryocyte from the mouse femur, imaged using Xenium spatial transcriptomics. Megakaryocytes are very large, polygonal cells with an enormous, lobulated nucleus and abundant cytoplasm. In the marrow tissue, they are rare but easily recognizable, responsible for the production of platelets essential for hemostasis."
afhenhbi-1,endothelial cell.,nondisease,Femur,nondisease,Mouse,Xenium,"[Image Pair 10]: This single cell is a non-cancerous endothelial cell from mouse femur, imaged via Xenium spatial transcriptomics technology. Endothelial cells are flattened and elongated with an oval nucleus and minimal cytoplasm. In the histological patch, they delineate vascular walls, facilitating selective transport and maintaining marrow blood vessel integrity."
