cell_id,cell-type,cell disease state,tissue,tissue disease state,source,st technology,caption
point_100000,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 1**: This single cell is a podocyte from a mouse kidney, featuring elaborate foot processes that contribute to the glomerular filtration barrier. Podocytes exhibit a unique structure with slender extensions wrapping around capillaries. They play a crucial role in filtering blood, preventing large molecules like proteins from passing into the urine. The surrounding tissue shows a densely packed arrangement with numerous nuclei indicative of active cellular processes required for kidney function."
point_100116,Proximal Tubule,0,Kidney,0,mouse,Visium HD,"**Image Pair 2**: This single cell is a proximal tubule cell located in the mouse kidney. Characterized by a brush border on the apical surface, these cells are responsible for reabsorbing vital substances such as water, glucose, and ions from the filtrate. The tissue section reveals tubular structures lined by cuboidal epithelial cells, indicative of the proximal tubule morphology crucial for maintaining electrolyte and fluid balance."
point_100199,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 3**: This single cell is a podocyte in the mouse kidney, identifiable by its intricate foot processes that interface closely with glomerular capillaries. Podocytes are essential for maintaining the glomerular filtration barrier, ensuring selective permeability. The surrounding histological structure demonstrates a compact network of cells critical for optimal renal function, while preserving ultrastructural integrity against glomerular pressure."
point_100237,Proximal Tubule,0,Kidney,0,mouse,Visium HD,"**Image Pair 4**: This single cell is a proximal tubule cell from the mouse kidney, noted for its brush border composed of microvilli to increase surface area for absorption. These cells are integral to reclaiming crucial solutes and water from the glomerular filtrate. The renal tissue shows organized tubular sections, with proximal tubules displaying distinct chains of nuclei indicative of high metabolic activity and reabsorptive capacity."
point_101178,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 5**: This image highlights a podocyte cell from the mouse kidney, showing distinct foot processes that form filtration slits crucial for regulating the passage of molecules. Podocytes are vital for filtration selectivity, preventing proteinuria. The surrounding histology exhibits tightly arranged cells with dark-stained nuclei, contributing to the structural and functional demands of the renal filtration system."
point_101250,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 6**: The single cell is a podocyte in the mouse kidney, demonstrating fine foot processes that wrap around glomerular capillaries. Podocytes are pivotal in the kidney’s filtration barrier, ensuring selective permeability and structural integrity. The surrounding tissue reveals a cohesive cellular arrangement, indicative of the structural complexity essential for sustaining renal filtration efficiency."
point_102218,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 7**: This image showcases a podocyte cell from the mouse kidney, characterized by specialized foot processes integral to the glomerular filtration barrier. Podocytes play a vital role in filtering cellular waste while preserving necessary blood components. The tissue section displays a dense clustering of cells necessary for maintaining the integrity and function of the kidney’s filtration apparatus."
point_10222,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 8**: The single podocyte cell located in the mouse kidney features extensions forming a filtration network over capillaries. These cells are essential in maintaining the filtration barrier's selectivity, preventing protein loss. The histological view shows a structured cellular matrix with densely packed cell nuclei, highlighting the active environment in which podocytes operate for efficient filtering."
point_102306,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 9**: This podocyte cell, situated in the mouse kidney, is equipped with complex foot processes essential for selective glomerular filtration. Podocytes ensure that large molecules like proteins remain in circulation while waste is excreted. The surrounding tissue captures a rich cellular environment indicative of the kidney's ongoing filtration and absorption roles."
point_102372,Podocyte,0,Kidney,0,mouse,Visium HD,"**Image Pair 10**: Highlighting a podocyte from the mouse kidney, this cell features interdigitating foot processes crucial for the filtration barrier. Podocytes are key in maintaining the selective permeability of the glomerular filter. The adjacent tissue exhibits organized rows of nuclei reflecting the highly functional and structured nature needed for kidney filtration tasks."
point_10748,Podocyte,0,Kidney,0,mouse,Visium HD,"1. This non-cancerous podocyte cell, located in a mouse kidney, showcases its intricate structure vital for kidney filtration. Podocytes exhibit foot processes that tightly adhere to capillaries, forming a selective filtration barrier evident in the dense arrangement of nuclei in the tissue."
point_108062,Podocyte,0,Kidney,0,mouse,Visium HD,"2. In this mouse kidney image, the podocyte cell demonstrates complex interdigitating foot processes, crucial for maintaining the glomerular filtration barrier. The tissue’s structure includes closely packed nuclei, indicative of healthy kidney filtration function."
point_108520,Podocyte,0,Kidney,0,mouse,Visium HD,3. The podocyte cell in this mouse kidney sample displays elongated foot processes essential for glomerular filtration. The tightly arranged cellular structure and dark-stained nuclei signify a robust filtration interface.
point_108989,Podocyte,0,Kidney,0,mouse,Visium HD,"4. This kidney histopathology image reveals a podocyte cell with characteristic foot processes that support the glomerular filtration barrier. The tissue shows closely grouped nuclei and well-defined cell boundaries, crucial for efficient kidney function."
point_109536,Proximal Tubule,0,Kidney,0,mouse,Visium HD,"5. The proximal tubule cell in this mouse kidney sample is identifiable by its large size and prominent microvilli, facilitating reabsorption of water and solutes. The cell’s location emphasizes its role in prominent ion exchange and nutrient reclamation."
point_109651,Podocyte,0,Kidney,0,mouse,Visium HD,"6. A podocyte cell in this mouse kidney image illustrates its critical role in filtration with its interdigitating foot processes. This region, with tightly packed tissue and distinct nuclei, supports the intricate filtration barrier of the glomerulus."
point_109918,Podocyte,0,Kidney,0,mouse,Visium HD,"7. This image highlights a podocyte cell within the mouse kidney, characterized by its distinctive foot processes crucial for forming the glomerular filtration barrier. The dense arrangement of surrounding cells aids in efficient filtration."
point_109944,Proximal Tubule,0,Kidney,0,mouse,Visium HD,"8. Featuring a proximal tubule cell, this mouse kidney sample shows the cell's functional adaptations, including microvilli for reabsorption. Its position and structure underscore its importance in reclaiming water and nutrients."
point_110318,Podocyte,0,Kidney,0,mouse,Visium HD,9. The podocyte cell depicted here exhibits hallmark foot processes vital for filtration in the mouse kidney. The tightly packed cells and visible nuclei reinforce its role in sustaining the glomerular barrier.
point_110528,Podocyte,0,Kidney,0,mouse,Visium HD,"10. This podocyte cell in the mouse kidney is essential for filtration, characterized by interdigitating foot processes. The dense cellular arrangement supports the structural integrity of the glomerular filtration barrier."
point_100000,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 1]: This single cell is a podocyte, found in the mouse kidney, characterized by a complex structure with foot processes extending to envelop the glomerular capillaries. Podocytes play a crucial role in maintaining the glomerular filtration barrier and are integral to kidney function. The larger tissue image displays numerous glomerular and tubular structures typical of healthy renal tissue, highlighting podocytes' strategic positioning essential for filtration."
point_100116,Proximal Tubule,0,Kidney,0,mouse,Visium HD,"[Image Pair 2]: The cell shown is a proximal tubule cell from the mouse kidney, notable for its cuboidal shape and brush border on the apical surface, maximizing absorption. These cells are vital for reabsorbing water, ions, and nutrients from the filtrate. The wider tissue section reveals the dense arrangement of tubule cells typical of renal cortex areas, allowing for efficient reabsorption and concentration of urine."
point_100199,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 3]: This image features a podocyte cell, highly specialized with interdigitating foot processes crucial for forming slit diaphragms in the glomerular filtration barrier. Podocytes ensure selective filtration of blood plasma. The surrounding tissue demonstrates glomerular and interstitial renal structures, highlighting their critical role in filtering blood and maintaining fluid balance."
point_100237,Proximal Tubule,0,Kidney,0,mouse,Visium HD,"[Image Pair 4]: The proximal tubule cell depicted here displays characteristic microvilli, enhancing its absorptive capacity. Proximal tubule cells reclaim most nutrients and water from the glomerular filtrate, crucial for maintaining electrolyte and acid-base balance. The comprehensive tissue shows tubule cross-sections packed with these cells, indicative of their intensive reabsorption role in the nephron."
point_101178,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 5]: Here, the podocyte cell is shown, exhibiting the unique morphology with foot process extensions. Podocytes are integral to the glomerular filtration mechanism, ensuring selective permeability. The broader image depicts a dense array of kidney structures, emphasizing the critical filtration and support roles podocytes play within the nephron architecture."
point_101250,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 6]: This podocyte cell is identified by its branching processes and interconnectivity with neighboring cells, forming a crucial filtration barrier in the kidney's glomerulus. Podocytes protect against protein loss while allowing waste removal. The extensive view illustrates renal structure intricacies, with distinct filtration zones supported by healthy podocyte function."
point_102218,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 7]: The depicted cell is a podocyte, recognized for its elaborate foot processes that form a dynamic filtration barrier. Podocytes are essential in maintaining the structural and functional integrity of the renal filter. The magnified tissue section reflects a balanced kidney microenvironment, showcasing podocytes' pivotal role in glomerular health."
point_10222,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 8]: Shown here is a podocyte, marked by its distinct morphology with foot processes, crucial for supporting the glomerular basement membrane. Podocytes ensure effective filtration and prevent proteinuria. The surrounding kidney tissue features well-organized nephron segments, highlighting the podocytes' critical role in overall renal health."
point_102306,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 9]: This image focuses on a podocyte, illustrating its specialized extensions critical for forming the filtration barrier in the kidney glomeruli. Podocytes contribute to preventing renal filtrate leakage and proteinuria. The adjacent tissue image reveals typical nephron organization, supporting efficient filtration supported by healthy podocyte function."
point_102372,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 10]: The highlighted cell is a podocyte, prominent for its role in maintaining glomerular structure and selective filtration capability. Podocytes are pivotal in kidney health by forming a barrier against protein loss. The tissue sample highlights renal cortex arrangements, underscoring the symbiotic relationship between podocytes and overall kidney function."
point_102616,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 1]: This image shows a non-cancerous podocyte cell from a mouse kidney, characterized by a unique morphology that includes a rounded body with intricate foot processes extending from it. Podocytes are vital for the glomerular filtration barrier, facilitating selective filtration of blood while maintaining structural integrity. The large nucleus is prominent and displays chromatin organization typical of healthy cells, indicating an active state. The surrounding tissue exhibits a loose arrangement, highlighting the role of podocytes in maintaining spatial architecture within the nephron."
point_1027,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 2]: The captured podocyte cell in this image exhibits a typical rounded shape with distinct foot processes radiating from its body, which are critical for interacting with glomerular capillaries. The nucleus is centrally located and appears relatively large, indicative of a metabolically active cell. This tissue architecture is consistent with healthy renal function, showcasing the organization of podocytes in the mouse kidney and their role in maintaining filtration properties while ensuring structural durability against mechanical stresses."
point_102925,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 3]: This image depicts a non-cancerous podocyte, identifiable by its round shape and the prominent cytoplasmic extensions (foot processes). These structures are essential for creating a filtration barrier between blood and the urinary space. The podocyte's nucleus is large and well-defined, reflecting its metabolic activity engaged in normal renal function. The surrounding renal tissue exhibits a closely packed configuration, indicating a well-organized filtration system, essential for effective glomerular function."
point_102983,Podocyte,0,Kidney,0,mouse,Visium HD,"[Image Pair 4]: In this image, a podocyte cell is observed within its natural habitat in the mouse kidney, displaying its characteristic rounded form and extending processes that embrace glomerular structures. The nuclei are prominent, indicating cellular activity necessary for the podocyte's essential function in filtration. The overall tissue structure suggests a healthy state, with closely packed cells that maintain the integrity of the filtration barrier while contributing to the overall renal architecture."
