cell_id,cell-type,cell disease state,tissue,tissue disease state,source,st technology,caption
point_10054,Neural Progenitor,0,Embryo,0,mouse,Visium HD,"[Image 1]: This single cell is a neural progenitor cell from a non-cancerous mouse embryo, visualized using Visium HD spatial transcriptomics. Neural progenitor cells are small to medium-sized with oval to elongated nuclei and scant, lightly stained cytoplasm. They exhibit a high nuclear-to-cytoplasmic ratio and are characterized by their capacity for proliferation and differentiation, playing a pivotal role in early neurogenesis within developing embryonic tissue."
point_10085,Mesenchyme,0,Embryo,0,mouse,Visium HD,"[Image 2]: This mesenchyme cell from a non-cancerous mouse embryo displays an elongated, spindle-shaped morphology with a pale cytoplasm and an ovoid, lightly stained nucleus. Mesenchyme cells function as multipotent stromal cells that give rise to various connective tissues, providing structural support and contributing to organogenesis in embryonic development."
point_10121,Mesenchyme,0,Embryo,0,mouse,Visium HD,"[Image 3]: This image depicts a mesenchyme cell within a non-cancerous mouse embryo, identified by its irregular, stellate shape, pale cytoplasm, and centrally placed, rounded nucleus. These embryonic cells are crucial for differentiating into connective tissue lineages, facilitating tissue remodeling and organ formation during development."
point_10238,Mesenchyme,0,Embryo,0,mouse,Visium HD,"[Image 4]: The mesenchyme cell in this non-cancerous mouse embryo section exhibits a loose, amorphous shape with indistinct cell borders and an oval nucleus. Such cells possess high plasticity, enabling migration and differentiation to provide foundational support for forming various tissues in the developing embryo."
point_10239,Neural Progenitor,0,Embryo,0,mouse,Visium HD,"[Image 5]: This neural progenitor cell from a non-cancerous mouse embryo shows a rounded to slightly elongated shape with a large, darkly stained nucleus and minimal cytoplasm. These cells are integral to embryonic neurogenesis, retaining the proliferative capacity necessary for producing diverse neural cell types as the nervous system forms."
point_10424,Neural Progenitor,0,Embryo,0,mouse,Visium HD,"[Image 6]: Depicted here is a neural progenitor cell from a non-cancerous mouse embryo, featuring a compact, rounded nucleus with scant cytoplasm and indistinct boundaries. Neural progenitor cells serve as transient amplifying cells, driving neurodevelopment by dividing rapidly and differentiating into specialized neural cell types."
point_10530,Mesenchyme,0,Embryo,0,mouse,Visium HD,"[Image 7]: This mesenchyme cell, located in a non-cancerous mouse embryo, is identified by its loosely arranged, spindle-like structure and an oval, lightly stained nucleus. Such cells play a central role in embryogenesis, providing structural support and contributing to the formation of connective tissues."
point_10632,Neural Progenitor,0,Embryo,0,mouse,Visium HD,"[Image 8]: A neural progenitor cell is visible in this section of a non-cancerous mouse embryo, recognized by its rounded morphology, dense nuclear chromatin, and scant cytoplasm. These progenitor cells are essential for the early stages of central nervous system development due to their proliferative and differentiative potential."
point_10676,Neural Progenitor,0,Embryo,0,mouse,Visium HD,"[Image 9]: This neural progenitor cell from a non-cancerous mouse embryo displays a high nuclear-to-cytoplasmic ratio, with a rounded to ovoid, dark-staining nucleus. Neural progenitor cells facilitate rapid expansion and specification of neural lineages during embryonic neurodevelopment."
point_10700,Mesenchyme,0,Embryo,0,mouse,Visium HD,"[Image 10]: Shown here is a mesenchyme cell in a non-cancerous mouse embryo, possessing an elongated, spindle-shaped form and a centrally located, pale-staining nucleus. Mesenchyme cells underpin embryonic tissue morphogenesis by differentiating into diverse connective tissue types and enabling organ patterning."
point_10755,Mesenchyme,0,Embryo,0,mouse,Visium HD,"[Image 1]: This single cell is a mesenchyme cell from a non-cancerous mouse embryo, displaying an irregular, stellate shape with a large, oval, centrally located nucleus. Mesenchyme cells are relatively undifferentiated, exhibiting a loose structure with pale cytoplasm and play a pivotal role in embryonic connective tissue formation and differentiation."
point_1078,Neural Progenitor,0,Embryo,0,mouse,Visium HD,"[Image 2]: Neural progenitor cell from a non-cancerous mouse embryo, showing an elongated or oval shape with a prominent, round, basophilic nucleus and sparse cytoplasm. Neural progenitors actively proliferate and differentiate to form various types of neural tissue, crucial for early brain and spinal cord development."
point_10855,Neural Progenitor,0,Embryo,0,mouse,Visium HD,"[Image 3]: This neural progenitor cell from a mouse embryo displays an oval nucleus with condensed chromatin, minimal cytoplasm, and close clustering typical of proliferative neural zones. These cells function as precursors for neurons and glial cells in the developing nervous system."
