cell_id,cell-type,cell disease state,tissue,tissue disease state,source,st technology,caption
point_10074,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 1]: This non-cancerous excitatory neuron from the mouse brain exhibits a large, round to ovoid cell body with a prominent, centrally located nucleus and visible Nissl substance, characteristic of active neurotransmitter production; these neurons are specialized for rapid signal transmission via glutamatergic synapses within densely packed cortical layers."
point_10098,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 2]: This excitatory neuron in the mouse brain displays a rounded soma with abundant cytoplasm and a conspicuous nucleus, reflecting its function in the propagation of excitatory signals; clustered among similar neurons, it contributes to cortical circuit activity essential for sensory and cognitive processing."
point_10214,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 3]: The excitatory neuron shown has a slightly ovoid cell body with a prominent, centrally positioned nucleus, embedded within tightly packed neural layers; its morphology supports the integration and relay of excitatory synaptic input, facilitating efficient neurotransmission in the mouse brain cortex."
point_1030,Oligodendrocyte,0,Brain,0,mouse,Visium HD,"[Image Pair 4]: This non-cancerous oligodendrocyte in the mouse brain features a small, round cell body with a dense, dark-staining nucleus and scant cytoplasm, reflecting its role in synthesizing myelin sheaths that insulate axons and enable rapid electrical conduction within the central nervous system."
point_1039,Oligodendrocyte,0,Brain,0,mouse,Visium HD,"[Image Pair 5]: The oligodendrocyte exhibits a compact, round morphology with a deeply stained, centrally located nucleus and minimal perinuclear cytoplasm; this structure is optimized for the production of myelin, ensuring efficient support and insulation for surrounding neuronal axons in the mouse brain."
point_10390,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 6]: The excitatory neuron displays a moderately large, round soma with a clear nucleus, immersed in a densely cellular layer; this morphology permits the rapid integration and relay of excitatory signals to postsynaptic targets, underscoring its essential role in neural circuit function in the mouse cortex."
point_10604,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 7]: This excitatory neuron is identified by its rounded cell body and prominent central nucleus, situated within a tightly packed neuronal layer; its structure is well-adapted for initiating and transmitting glutamatergic signals, fundamental for cortical excitability and processing."
point_10648,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 8]: The excitatory neuron shows a relatively large, ovoid cell body with a distinct nucleus and visible cytoplasmic granularity, alluding to active protein synthesis required for sustained neurotransmission; these features enable efficient relay of excitatory impulses in the mouse brain tissue."
point_10653,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 9]: This excitatory neuron is recognized by its rounded profile, a pale, prominent nucleus, and surrounding lighter cytoplasm; its morphology supports integration of synaptic inputs and high-frequency firing needed for complex information processing in the healthy mouse brain."
point_10657,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 10]: The excitatory neuron demonstrates an enlarged, pale-staining nucleus occupying much of the soma, a classic marker of active gene transcription for synaptic function; these cells play a critical role in rapid cortical signal transmission in the non-cancerous mouse brain."
point_10665,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 1]: This single cell is a non-cancerous excitatory neuron from the mouse brain, showing a large, irregularly-shaped soma with a prominent nucleus and faintly stained cytoplasm. The cell's expansive size and dispersed chromatin support its high metabolic demand and role in transmitting excitatory signals across neural circuits."
point_10732,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 2]: This single cell is a non-cancerous excitatory neuron from the mouse brain, exhibiting a round to ovoid soma with a large, lightly stained nucleus and visible nucleolus. Its prominent size and euchromatic appearance reflect its active role in synaptic transmission and integration of excitatory signals."
point_10743,Oligodendrocyte,0,Brain,0,mouse,Visium HD,"[Image 3]: This single cell is a non-cancerous oligodendrocyte from the mouse brain, identifiable by its small, round, and darkly stained nucleus with scant cytoplasm. Its compact morphology supports its main function: forming and maintaining myelin sheaths around axons to facilitate rapid neuronal signaling."
point_10746,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 4]: This single cell is a non-cancerous excitatory neuron from the mouse brain, displaying a large, rounded soma with a prominent, pale nucleus and surrounding cytoplasmic halo. The distinct nuclear-cytoplasmic morphology facilitates active gene transcription for neurotransmission."
point_10791,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 5]: This single cell is a non-cancerous excitatory neuron from the mouse brain, characterized by a large round soma, a centrally located lightly stained nucleus, and lightly basophilic cytoplasm, supporting its function in propagating fast excitatory signals across brain networks."
point_10815,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 6]: This single cell is a non-cancerous excitatory neuron from the mouse brain, featuring a moderately sized, oval soma with a distinct nucleus and lightly stained cytoplasm. This structure facilitates the integration and propagation of excitatory synaptic signals."
point_10849,Unknown,0,Brain,0,mouse,Visium HD,"[Image 7]: This single cell from the mouse brain, with indeterminate cell type, displays an irregular, ovoid morphology and diffuse nuclear and cytoplasmic staining, suggesting a non-neuronal or less differentiated phenotype whose function remains unclear given these features."
point_10946,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 8]: This single cell is a non-cancerous excitatory neuron from the mouse brain, displaying a rounded soma with a distinct, pale nucleus and lightly stained cytoplasm, suited for fast synaptic transmission and integration of excitatory signals within cortical circuits."
point_10955,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 9]: This single cell is a non-cancerous excitatory neuron from the mouse brain, marked by a large, irregularly shaped soma with a clear nucleus and moderate cytoplasm, providing a structural basis for its function in transmitting and integrating excitatory neural inputs."
point_11010,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image 10]: This single cell is a non-cancerous excitatory neuron from the mouse brain, demonstrating a rounded soma with a pale, euchromatic nucleus and delicate cytoplasm, all features indicative of an active cell efficiently processing and relaying excitatory neurotransmission."
point_11015,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 1]: This excitatory neuron from the mouse brain exhibits a large, round to oval cell body with a prominent, centrally located nucleus indicative of high metabolic activity. The surrounding neuropil contains densely packed neuronal and glial cells, confirming its role in propagating excitatory signals essential for neural circuit function."
point_11192,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 2]: The excitatory neuron displays a rounded soma with strong nuclear staining, nestled among similarly shaped cells in tightly organized layers. Such morphology supports the efficient transmission of excitatory synaptic signals, characteristic of healthy, non-cancerous brain tissue."
point_11235,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 3]: This excitatory neuron features an indistinct, rounded cell body with a lightly stained cytoplasm and a prominent nucleus. Grouped within a dense neural layer, its morphology facilitates rapid signal propagation—crucial for maintaining normal excitatory neurotransmission in the mouse brain."
point_11270,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 4]: The excitatory neuron is characterized by a prominent, rounded cell body with a strongly stained nucleus, positioned within a compact row of neurons. This cellular arrangement enhances synaptic connectivity, supporting its role in fast neural signaling within healthy mouse brain tissue."
point_11393,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 5]: This excitatory neuron displays a clear, rounded soma with a distinct nucleus, embedded amidst many similar neurons in a tightly packed neural layer. Its structure supports the rapid relay of excitatory impulses necessary for normal brain function."
point_11466,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 6]: The excitatory neuron shows a large, rounded cell body with a darkly stained nucleus, set among densely packed neurons. This morphology is optimal for effective synaptic integration and excitatory communication in healthy neural circuits."
point_11535,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 7]: This excitatory neuron has a round to oval soma and an intensely stained nucleus, surrounded by a dense network of similar neurons. Its morphology aligns with a highly interconnected, signal-transmitting role in non-cancerous mouse brain tissue."
point_11568,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 8]: The excitatory neuron exhibits an oval to slightly irregular cell body and a well-defined nucleus, positioned among closely arranged neurons. This morphology underpins efficient excitatory signaling vital to normal brain activity."
point_11574,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 9]: This excitatory neuron is identified by its rounded soma and pronounced nuclear staining, tightly clustered with other neural cells. Its structural features are essential for propagating excitatory impulses in healthy mouse brain circuits."
point_11617,Inhibitory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 10]: The inhibitory neuron displays a rounded, less densely stained soma with a discernible nucleus, interspersed among densely arranged excitatory neurons. This morphology is optimized for regulating and balancing excitatory activity, helping maintain neural circuit stability in normal brain tissue."
point_1163,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 1]: This excitatory neuron from the mouse brain displays a medium-sized, rounded cell body (soma) with a centrally placed nucleus and faint cytoplasmic borders. Excitatory neurons have characteristic large, prominent nuclei and are specialized for rapid synaptic transmission through the release of glutamate, facilitating neuronal communication in healthy, non-cancerous brain tissue."
point_11636,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 2]: This excitatory neuron reveals an ovoid cell body dispersed within densely packed neural tissue, with a prominent nucleus and limited visible neuritic processes. These neurons are responsible for propagating excitatory signals via glutamate in healthy mouse brain, supporting plasticity and information processing."
point_1164,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 3]: The excitatory neuron exhibits a rounded to polygonal soma, prominent central nucleus, and slightly granular chromatin pattern. This non-cancerous cell type is specialized for transmitting excitatory signals within brain circuits, playing a pivotal role in cognition and neural connectivity."
point_1165,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 4]: This non-cancerous excitatory neuron features a crescent-shaped soma with a distinct, darkly stained nucleus. It is well-adapted for efficient signal transmission through synaptic release of glutamate, underscoring its essential function in the mouse brain’s neural networks."
point_11711,Excitatory Neuron,0,Brain,0,mouse,Visium HD,"[Image Pair 5]: The excitatory neuron exhibits a compact, irregularly contoured cell body within a densely cellular region, housing a pronounced nucleus and faint cytoplasmic boundaries. As a major source of excitatory neurotransmission, this cell supports synaptic integration and cortical processing in the non-cancerous mouse brain."
