sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
FFHO026,conch,bleep_conch_adapter,0,x,high,top50_hvg,8889,2400,50,50,0.3941486661322415,0.3794059484068557,0.0303955556091386,0.7378695011138916,0.6016148924827576,0.5211990074329864,0.934635796918255,0.1851204502861008,0.5598781236021779,0.7456199987265589,0.7233149575292609
FFHO026,conch,bleep_conch_adapter,0,x,high,top200_hvg,8889,2400,50,200,0.2619762815075228,0.2558963683220586,-0.0081269993120804,0.539926290512085,0.4175345301628113,0.5287367222697009,0.4768440652841225,0.6279668521056889,0.5524054586949056,0.3892127191263257,0.4786230656974787
FFHO026,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,8889,2400,50,195,0.2621626056450156,0.2560344925317959,-0.0088716007363146,0.5424695611000061,0.4199654757976532,0.5300719230866262,0.4824670765005445,0.6225765651542121,0.5525218208273783,0.3938248341755659,0.4809353915950592
FFHO026,conch,bleep_conch_adapter,1,y,high,top50_hvg,9048,2400,50,50,0.3853297731280327,0.3779268371745162,0.1198415936389938,0.7354898452758789,0.5931806564331055,0.5483470308941751,0.9392397098144531,0.1865047031193899,0.5628722064669216,0.7606266877919041,0.7404936514608319
FFHO026,conch,bleep_conch_adapter,1,y,high,top200_hvg,9048,2400,50,200,0.2641153882350772,0.2576917801901047,0.0276088611059822,0.5438581705093384,0.4281639754772186,0.5482875752521407,0.5549080760607311,0.5655648612903469,0.5602364686755391,0.4494835664348333,0.4916271571280048
FFHO026,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,9048,2400,50,193,0.2652122031588474,0.2586022114981284,0.0294068398875777,0.547772228717804,0.4315516054630279,0.5493742324143921,0.5626994711649995,0.5585639214745226,0.5606316963197611,0.4565628205896198,0.4967585606252756
FFHO026,conch,bleep_conch_adapter,2,x,low,top50_hvg,8912,2400,50,50,0.3230690446496009,0.321231066063687,0.0331979959644377,0.7570399045944214,0.59786456823349,0.4780427071105019,0.8819521788184201,0.2450808829833786,0.5635165309008993,0.7287150228275641,0.7027887236589819
FFHO026,conch,bleep_conch_adapter,2,x,low,top200_hvg,8912,2400,50,200,0.208661872294906,0.2079829848440242,-0.0238534303734195,0.5402392745018005,0.4083805382251739,0.5171784682968391,0.4427841824189369,0.6495146574194033,0.5461494199191701,0.3784738042676208,0.4419026025798039
FFHO026,conch,bleep_conch_adapter,2,x,low,marker_hvg_overlap,8912,2400,50,194,0.2092224266353068,0.2082483344407779,-0.0248250958972404,0.5443241596221924,0.4121813476085663,0.5169860911452454,0.451348485073104,0.6418408776196758,0.5465946813463898,0.3845182969027476,0.4462612261363218
FFHO026,conch,bleep_conch_adapter,3,y,low,top50_hvg,8936,2400,50,50,0.3739076867699623,0.3446235562201745,0.115389482283499,0.7114488482475281,0.5707475543022156,0.5575865822427999,0.8760032806859057,0.2567220384458578,0.5663626595658818,0.7449235369086012,0.7436133031085375
FFHO026,conch,bleep_conch_adapter,3,y,low,top200_hvg,8936,2400,50,200,0.2454901283793151,0.2278632168481023,0.025867921933459,0.5276764631271362,0.4128339290618896,0.574098508557106,0.4589003059185721,0.63646155283876,0.5476809293786661,0.3892521161700207,0.4799978902529703
FFHO026,conch,bleep_conch_adapter,3,y,low,marker_hvg_overlap,8936,2400,50,195,0.2460017753526186,0.2283504305641035,0.0265813739635259,0.5298312902450562,0.4149178564548492,0.5757141027905468,0.4644245957930503,0.6314221226092885,0.5479233592011693,0.3938130093045434,0.4826282016553372
FFMB028,conch,bleep_conch_adapter,0,x,high,top50_hvg,8875,2400,50,50,0.3869490496441722,0.3851790479531511,-0.007633218250703,0.7035808563232422,0.5711861252784729,0.4947054295026671,0.9148058795291304,0.1871479631326632,0.550976921330897,0.7104466444527433,0.7142777193543715
FFMB028,conch,bleep_conch_adapter,0,x,high,top200_hvg,8875,2400,50,200,0.2787820128188468,0.2725862136807447,-0.0320150953927077,0.5104987621307373,0.4059602916240692,0.492163207606243,0.5244269401214707,0.60106023289449,0.5627435865079804,0.4256079646593585,0.4845441153640393
FFMB028,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,8875,2400,50,150,0.2758449180827786,0.2684412293124827,-0.0427323015600753,0.5179774165153503,0.4106270372867584,0.50231281201684,0.5232986481506486,0.5993268304148955,0.561312739282772,0.4252292830717965,0.4837026254643572
FFMB028,conch,bleep_conch_adapter,1,y,high,top50_hvg,8964,2400,50,50,0.3811994940042496,0.3868958650930119,-0.0454217155091464,0.7015814781188965,0.5726854205131531,0.470121763773548,0.9263022175004187,0.1715619171721563,0.5489320673362875,0.7243167879256164,0.7208596687499781
FFMB028,conch,bleep_conch_adapter,1,y,high,top200_hvg,8964,2400,50,200,0.2629310498113045,0.2601802073341696,-0.067030038344219,0.5148867964744568,0.4144625067710876,0.4783116884413248,0.5555029118105955,0.56149354968538,0.5584982307479878,0.4295555641954944,0.4791783422477621
FFMB028,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,8964,2400,50,150,0.2592020380559067,0.2561889625539412,-0.0849618180586791,0.5240741968154907,0.4225926697254181,0.4892379737522932,0.5623470024303135,0.5467096167766488,0.5545283096034812,0.4304302993508421,0.4776780109711084
FFMB028,conch,bleep_conch_adapter,2,x,low,top50_hvg,9008,2400,50,50,0.3011674267239869,0.325146252544746,-0.1961236993991769,0.8156234622001648,0.664412260055542,0.4838890876471415,0.971443017776974,0.0491450499915573,0.5102940338842658,0.7284412066236737,0.7026345453672163
FFMB028,conch,bleep_conch_adapter,2,x,low,top200_hvg,9008,2400,50,200,0.1990635714499512,0.2088645681353777,-0.1320098312213667,0.5805924534797668,0.4694140255451202,0.4798508289902998,0.6360728710343849,0.4168243218172386,0.5264485964258118,0.4412527785713067,0.4685336859580019
FFMB028,conch,bleep_conch_adapter,2,x,low,marker_hvg_overlap,9008,2400,50,150,0.1932552623880716,0.2034613765231322,-0.1388827162627907,0.5883179903030396,0.4740610122680664,0.4891013036518757,0.627635732698164,0.4174260141499155,0.5225308734240396,0.4343897094446425,0.4667598406330717
FFMB028,conch,bleep_conch_adapter,3,y,low,top50_hvg,8889,2400,50,50,0.375707131922245,0.3480009048280859,-0.0222231575939804,0.7255069613456726,0.558605432510376,0.4481129837280064,0.4948510668223984,0.6710068310955415,0.58292894895897,0.5330055319485317,0.7116135805387145
FFMB028,conch,bleep_conch_adapter,3,y,low,top200_hvg,8889,2400,50,200,0.2700984807685017,0.2418456874102392,-0.0412909917077922,0.5371497869491577,0.3832567930221557,0.4202718705675877,0.2105052829842029,0.8759593022132697,0.5432322925987362,0.2417172932681729,0.4988920888101292
