sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,ridge_pearson_gene_macro,ridge_f1_gene_macro,pearson_difference_bleep_minus_ridge,f1_difference_bleep_minus_ridge
FFHO026,conch,bleep_conch_adapter,0,x,high,top50_hvg,8889,2400,50,50,0.3941486661322415,0.3794059484068557,0.0303955556091386,0.7378695011138916,0.6016148924827576,0.5211990074329864,0.934635796918255,0.1851204502861008,0.5598781236021779,0.7456199987265589,0.7233149575292609,0.4156644161045551,0.7526649714963489,-0.021515749972313647,-0.007044972769789992
FFHO026,conch,bleep_conch_adapter,1,y,high,top50_hvg,9048,2400,50,50,0.3853297731280327,0.3779268371745162,0.1198415936389938,0.7354898452758789,0.5931806564331055,0.5483470308941751,0.9392397098144531,0.1865047031193899,0.5628722064669216,0.7606266877919041,0.7404936514608319,0.4220003944635391,0.7626526409953496,-0.036670621335506415,-0.002025953203445452
FFHO026,conch,bleep_conch_adapter,2,x,low,top50_hvg,8912,2400,50,50,0.3230690446496009,0.321231066063687,0.0331979959644377,0.7570399045944214,0.59786456823349,0.4780427071105019,0.8819521788184201,0.2450808829833786,0.5635165309008993,0.7287150228275641,0.7027887236589819,0.3836042320728302,0.7290421039932795,-0.060535187423229275,-0.0003270811657154482
FFHO026,conch,bleep_conch_adapter,3,y,low,top50_hvg,8936,2400,50,50,0.3739076867699623,0.3446235562201745,0.115389482283499,0.7114488482475281,0.5707475543022156,0.5575865822427999,0.8760032806859057,0.2567220384458578,0.5663626595658818,0.7449235369086012,0.7436133031085375,0.3871787989139557,0.7783554362381006,-0.013271112143993402,-0.033431899329499304
FFMB028,conch,bleep_conch_adapter,0,x,high,top50_hvg,8875,2400,50,50,0.3869490496441722,0.3851790479531511,-0.007633218250703,0.7035808563232422,0.5711861252784729,0.4947054295026671,0.9148058795291304,0.1871479631326632,0.550976921330897,0.7104466444527433,0.7142777193543715,0.4701642961800098,0.7251678216777901,-0.08321524653583762,-0.014721177225046844
FFMB028,conch,bleep_conch_adapter,1,y,high,top50_hvg,8964,2400,50,50,0.3811994940042496,0.3868958650930119,-0.0454217155091464,0.7015814781188965,0.5726854205131531,0.470121763773548,0.9263022175004187,0.1715619171721563,0.5489320673362875,0.7243167879256164,0.7208596687499781,0.4431239891052246,0.7426334486192752,-0.06192449510097503,-0.01831666069365878
FFMB028,conch,bleep_conch_adapter,2,x,low,top50_hvg,9008,2400,50,50,0.3011674267239869,0.325146252544746,-0.1961236993991769,0.8156234622001648,0.664412260055542,0.4838890876471415,0.971443017776974,0.0491450499915573,0.5102940338842658,0.7284412066236737,0.7026345453672163,0.487639847099781,0.7529137075854596,-0.1864724203757941,-0.02447250096178588
FFMB028,conch,bleep_conch_adapter,3,y,low,top50_hvg,8889,2400,50,50,0.375707131922245,0.3480009048280859,-0.0222231575939804,0.7255069613456726,0.558605432510376,0.4481129837280064,0.4948510668223984,0.6710068310955415,0.58292894895897,0.5330055319485317,0.7116135805387145,0.4653734424710273,0.7200468682186165,-0.08966631054878232,-0.1870413362700848
FFMC016,conch,bleep_conch_adapter,0,x,high,top50_hvg,8968,2400,50,50,0.6128268218040467,0.5837747489977564,0.322104866001755,0.7240892648696899,0.5532498955726624,0.7510947059303813,0.8588454275589713,0.476764961574156,0.6678051945665636,0.7544966744006396,0.7931910031523692,0.6215432280302048,0.7490710494507422,-0.008716406226158102,0.005425624949897401
FFMC016,conch,bleep_conch_adapter,1,y,high,top50_hvg,8837,2400,50,50,0.5576235771179199,0.5325183547379794,0.2816298207081854,0.729606568813324,0.5352567434310913,0.6849498587474018,0.7190757311630898,0.623333582853598,0.6712046570083438,0.6993891945936404,0.7564510944250057,0.5896080553531646,0.7283602498967764,-0.03198447823524475,-0.02897105530313604
FFMC016,conch,bleep_conch_adapter,2,x,low,top50_hvg,9133,2400,50,50,0.6045733451843261,0.5912247780069105,0.3463067061360925,0.7061356902122498,0.5472728610038757,0.717147054617429,0.8698697857776739,0.4491464260579166,0.6595081059177953,0.7528465949780138,0.7960472193842559,0.6261083269119263,0.7553807563380776,-0.021534981727600155,-0.0025341613600637913
FFMC016,conch,bleep_conch_adapter,3,y,low,top50_hvg,8719,2400,50,50,0.6075631827116013,0.5825321909658094,0.3230260999058373,0.7042125463485718,0.5486783981323242,0.7244157776002732,0.8712194464338073,0.4315714696807112,0.6513954580572593,0.736013329028335,0.7790059130851893,0.6213186174631119,0.7422454241869305,-0.013755434751510642,-0.006232095158595463
