encoder,species,organ,target,train_samples,seed,ratio,model,gene_set,n_train,n_test,n_shared_genes,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.1,image,top50_hvg,2400,12000,352,50,0.0492749770730733,0.0498408777071652,-0.605883883786737,0.8553875684738159,0.5215866565704346,0.1212823277935255,0.017924423835412,0.98964252748139,0.503783475658401,0.0274997564421722,0.4131535956212153
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.1,image,top200_hvg,2400,12000,352,200,0.0235065404005727,0.0228639810487101,-0.3544085887961274,0.577512800693512,0.2730399668216705,0.1558760304884685,0.0045061291269203,0.9973988043831148,0.5009459310876384,0.0069144398459977,0.2271447439042314
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.1,image,marker_hvg_overlap,2400,12000,352,186,0.0244290283934615,0.0238272547055314,-0.3420449024794711,0.5904711484909058,0.2807746231555938,0.1558599882172336,0.0048046168639427,0.9972303037260428,0.5010099746293876,0.0073563515800835,0.2322574361179433
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.1,train_mean,top50_hvg,2400,12000,352,50,6.506354251989421e-07,,-0.4281589991277724,0.7974395155906677,0.5121889114379883,0.2238433441806307,0.0,1.0,0.5,0.0,0.393695
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.1,train_mean,top200_hvg,2400,12000,352,200,-1.9370441819165135e-07,,-0.2506471747346127,0.5528446435928345,0.2640330195426941,0.3172550131935036,0.0,1.0,0.5,0.0,0.2193182579564489
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.1,train_mean,marker_hvg_overlap,2400,12000,352,186,-2.320250219511877e-07,,-0.2249766531924841,0.5654593706130981,0.269583523273468,0.3461003000915709,0.0,1.0,0.5,0.0,0.2240310810810811
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.25,image,top50_hvg,6000,12000,352,50,0.0389150982181308,0.0382894374177892,-0.6816740782186389,0.8692448735237122,0.5228106379508972,0.1573705053663108,0.0112501860985117,0.9951570407970328,0.5032036134477723,0.0161104207859189,0.4087665759223883
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.25,image,top200_hvg,6000,12000,352,200,0.0300581116842011,0.028911677299655,-0.3494577913254911,0.5821161866188049,0.2670055031776428,0.1617646369964609,0.0028291849719202,0.9987872589985378,0.5008051748972856,0.0040528420571883,0.2290936116023086
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.25,image,marker_hvg_overlap,6000,12000,352,186,0.0320251865475674,0.0308060164177557,-0.3274058563080994,0.5946203470230103,0.2739618122577667,0.1612184880025663,0.0030249447767716,0.9987058216803132,0.5008618854493001,0.0043240017895369,0.2345344183112213
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.25,train_mean,top50_hvg,6000,12000,352,50,-3.958848435203777e-07,,-0.4272146526200231,0.7989460229873657,0.5122725367546082,0.2099735597410012,0.0,1.0,0.5,0.0,0.393695
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.25,train_mean,top200_hvg,6000,12000,352,200,-5.653079271138446e-08,,-0.2489393007771601,0.5531501173973083,0.2639446556568146,0.3151230869571916,0.0,1.0,0.5,0.0,0.2193182579564489
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,0.25,train_mean,marker_hvg_overlap,6000,12000,352,186,-2.9399097235928546e-08,,-0.2249619917344692,0.5657620429992676,0.2695959210395813,0.3420388285902659,0.0,1.0,0.5,0.0,0.2240310810810811
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,1.0,image,top50_hvg,24000,12000,352,50,0.0519597460189834,0.0517223502292634,-0.6701142594218255,0.8666505813598633,0.518006443977356,0.1919040425340122,0.0113904575164352,0.99554591284168,0.5034681851790576,0.0158911154850136,0.4130930592773568
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,1.0,image,top200_hvg,24000,12000,352,200,0.0403621016987529,0.0385384142183975,-0.3199682903564395,0.5810317397117615,0.2625725269317627,0.1879108222318478,0.0028619239991043,0.99888647821042,0.5008714033113211,0.0039927425841742,0.2325959218386001
conch,human,ovary,FFHO026,HOCD032;HOCW023,0,1.0,image,marker_hvg_overlap,24000,12000,352,186,0.0424840486451127,0.0405911663514211,-0.3146037824882974,0.5937232375144958,0.2697146832942962,0.1873121426712617,0.0030610933184081,0.9988117069200196,0.500933188516295,0.0042610594234757,0.2379946199955048
