species,organ,target,model,pearson_gene_macro,spearman_gene_macro,pearson_cell_macro,f1_gene_macro
human,breast,HBCA041,image,0.31265217373458043,0.31245798871976316,0.4236985855217146,0.338489584916221
human,breast,HBCA041,train_mean,5.731491327765071e-08,,0.2979292704011786,0.0857115915582161
human,breast,HBCH024,image,0.14093109209721053,0.1293739762807148,0.1526431018985465,0.09608722482772132
human,breast,HBCH024,train_mean,8.773744328038901e-07,,0.0951493807914043,0.037281265001341
human,breast,HBES040,image,0.2619052315565447,0.26206646388451854,0.3798500290811033,0.3704813830321956
human,breast,HBES040,train_mean,-4.518381893747758e-08,,0.2303882850104658,0.09401062996817171
human,lung,HLCD033,image,0.20821181005487832,0.18593940029152498,0.22889971946004697,0.11985396927543697
human,lung,HLCD033,train_mean,3.3548265548688505e-07,,0.154220105730424,0.0191918802664705
human,lung,HLCX022,image,0.1689033586035172,0.1585922938812762,0.3519122475861924,0.1494073916185217
human,lung,HLCX022,train_mean,3.1948279513471786e-07,,0.2685606393581181,0.0185360269229679
human,lung,XTNL005,image,0.21244360555118566,0.18148357167011372,0.2166485815862491,0.09710122686140164
human,lung,XTNL005,train_mean,1.919356446933307e-07,,0.1568723658028875,0.020409016305027
human,ovary,FFHO026,image,0.049776434070663504,0.049365779348235994,0.19270043241149584,0.0168918710564543
human,ovary,FFHO026,train_mean,6.704335561380503e-07,,0.2123783835246932,0.0
human,ovary,HOCD032,image,0.01606954369461157,0.020296341449668836,0.1001558369358286,0.08883989112188677
human,ovary,HOCD032,train_mean,-1.9590082558806898e-07,,0.1064549768259198,0.1141501609204842
human,ovary,HOCW023,image,0.1555186480376869,0.15069955342922806,0.13316020515337545,0.18009181699575313
human,ovary,HOCW023,train_mean,-1.4588284690830731e-06,,0.1352574262751789,0.0772770399119365
human,pancreas,HPDA034,image,0.14325071250088509,0.12391231560704592,0.3159833958842324,0.04917998473366487
human,pancreas,HPDA034,train_mean,-2.5905901281930713e-08,,0.2300231224649453,0.0
human,pancreas,HPXM007,image,0.1005812046603144,0.09159616218069178,0.29318277469398357,0.0576989527526858
human,pancreas,HPXM007,train_mean,2.453546130709583e-07,,0.2867465940757415,0.009892742896569
human,pancreas,PCHM006,image,0.10542384545279974,0.09606861028413939,0.14076271093464554,0.04833412566292897
human,pancreas,PCHM006,train_mean,-1.5022988527846337e-07,,0.18182041992873174,0.0095276790248857
human,skin,HSDX009,image,0.11657118104437052,0.10162410859505516,0.2893922120774066,0.046143332543974236
human,skin,HSDX009,train_mean,7.753411262001463e-07,,0.1461905506632217,0.0
human,skin,HSDX009_2,image,0.12440810912943556,0.11240001127201414,0.37305172305742423,0.07552186866056713
human,skin,HSDX009_2,train_mean,1.7782191406467972e-07,,0.2002725642404407,0.0
human,skin,HSPD012,image,0.16739999312907453,0.1590963471773724,0.2753054166907382,0.058631576595575996
human,skin,HSPD012,train_mean,-1.2907221826452545e-07,,0.20852704961723054,0.0
human,skin,PDHS029,image,0.12249294534015158,0.11690905456750263,0.21085071384744983,0.04523422562835503
human,skin,PDHS029,train_mean,-9.361046387823537e-08,,0.1709768786642796,0.0016490891658676
mouse,whole_pup,WMPP017,image,0.3716197398304939,0.27550896983575984,0.46211346063276304,0.14530960410212823
mouse,whole_pup,WMPP017,train_mean,-1.1101888601317e-07,,0.3394007769822917,0.0176161163961947
mouse,whole_pup,WMPW025,image,0.2755624325573444,0.20811261172865395,0.41367301018579483,0.2630474602337239
mouse,whole_pup,WMPW025,train_mean,-8.376719964076073e-07,,0.2699520323348652,0.0530385118575289
