species,organ,target,model,n_cell_types,pseudobulk_pearson,pseudobulk_rmse_log1p
human,breast,HBCA041,image,30,0.6829439282417298,0.17768702035148934
human,breast,HBCA041,train_mean,30,0.5662783195575078,0.2055756531655788
human,breast,HBCH024,image,52,0.41310589712251117,0.21934607481727228
human,breast,HBCH024,train_mean,52,0.33731278207980925,0.23858622003060118
human,breast,HBES040,image,34,0.7010969516693377,0.19717322684386193
human,breast,HBES040,train_mean,34,0.6088023794924512,0.17782960634897735
human,lung,HLCD033,image,20,0.5678676371773084,0.10851732585579152
human,lung,HLCD033,train_mean,20,0.47227138802409174,0.12242306694388386
human,lung,HLCX022,image,32,0.6439575948752463,0.10028125970469164
human,lung,HLCX022,train_mean,32,0.5149872009642422,0.11152718146331604
human,lung,XTNL005,image,36,0.6315557326845549,0.12445707246661183
human,lung,XTNL005,train_mean,36,0.4926666398015287,0.13933315676533511
human,ovary,FFHO026,image,28,0.2748776169360748,0.37828592610146317
human,ovary,FFHO026,train_mean,28,0.3966942796749728,0.34725898131728167
human,ovary,HOCD032,image,29,0.36869643457319545,0.13484891238568839
human,ovary,HOCD032,train_mean,29,0.3815132764906719,0.18694332447545278
human,ovary,HOCW023,image,32,0.4118797724756102,0.13237245016110435
human,ovary,HOCW023,train_mean,32,0.3861019399482757,0.23516908194869754
human,pancreas,HPDA034,image,32,0.6156781365474066,0.07687644641070311
human,pancreas,HPDA034,train_mean,32,0.45936724450439215,0.09508334263227876
human,pancreas,HPXM007,image,36,0.5822735632321349,0.0837315938401001
human,pancreas,HPXM007,train_mean,36,0.5977532722883754,0.0777550814673304
human,pancreas,PCHM006,image,36,0.28340727373701896,0.14997072986982485
human,pancreas,PCHM006,train_mean,36,0.39890415511197513,0.11098446624560483
human,skin,HSDX009,image,52,0.6075706614835842,0.04907919024714288
human,skin,HSDX009,train_mean,52,0.37456287524184667,0.0984154933920273
human,skin,HSDX009_2,image,1,0.9268807570139567,0.0382407481471697
human,skin,HSDX009_2,train_mean,1,0.6281773447990417,0.0725802779197692
human,skin,HSPD012,image,25,0.5617326908310254,0.1681763988733291
human,skin,HSPD012,train_mean,25,0.42362260466441515,0.18901888161897654
human,skin,PDHS029,image,34,0.32750308603292566,0.09600806071916042
human,skin,PDHS029,train_mean,34,0.25355550931657056,0.10912381375537196
mouse,whole_pup,WMPP017,image,44,0.7472470219839703,0.24189316498284988
mouse,whole_pup,WMPP017,train_mean,44,0.4738067246296189,0.26309934021397063
mouse,whole_pup,WMPW025,image,35,0.6796191709382193,0.20603019368080863
mouse,whole_pup,WMPW025,train_mean,35,0.4299326051558767,0.1851625561714172
