sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,resnet50,0,x,high,0.05,train_mean,top50_hvg,446,2400,50,-8.443437401695064e-08,,-0.0137723508081035,0.4769745469093323,0.3565840125083923,0.7241367024307692,0.18,0.82,0.5,0.1447975962904332,0.3049083333333333
HHDX011,resnet50,0,x,high,0.05,train_mean,top200_hvg,446,2400,200,-1.5291717151422192e-08,,-0.0077031987188092,0.2756686508655548,0.1398294121026992,0.713001436457079,0.045,0.955,0.5,0.0361993990726083,0.1094583333333333
HHDX011,resnet50,0,x,high,0.05,train_mean,marker_hvg_overlap,446,2400,171,-1.5205129434549118e-07,,-0.008428082888979,0.2773587703704834,0.1387030184268951,0.731011248461801,0.0409356725146198,0.95906432748538,0.5,0.034069881841428,0.1072685185185185
HHDX011,resnet50,0,x,high,0.05,coordinate,top50_hvg,446,2400,50,0.0050173833570443,0.0045825600797751,-0.0904817843576893,0.5088410377502441,0.360087901353836,0.7193974623202036,0.2969785049950083,0.7100913505959952,0.5035349277955017,0.221250630156182,0.2978425187089226
HHDX011,resnet50,0,x,high,0.05,coordinate,top200_hvg,446,2400,200,0.0008809962550003,0.0009227861239181,-0.1052974245340738,0.2931374609470367,0.1490418910980224,0.7047105957981831,0.074244626248752,0.9275205524570428,0.5008825893528974,0.0553126575390455,0.1098457982691809
HHDX011,resnet50,0,x,high,0.05,coordinate,marker_hvg_overlap,446,2400,171,0.0012235474147784,0.0016292323140481,-0.1117204550901504,0.2959528863430023,0.1477975249290466,0.7235586251347765,0.0678854746113001,0.93313555131834,0.50051051296482,0.0516546495239898,0.1088004543290976
HHDX011,resnet50,0,x,high,0.05,image,top50_hvg,446,2400,50,0.1402200822718441,0.1262724800351985,-0.2159545383416116,0.4772806763648987,0.3506698310375213,0.6830758783495954,0.3220970018432071,0.7633603556680926,0.5427286787556498,0.3209191885335847,0.353156263059507
HHDX011,resnet50,0,x,high,0.05,image,top200_hvg,446,2400,200,0.0466746898807468,0.0403695597699015,-0.307655785116367,0.2857864201068878,0.1607792377471923,0.6623525927983388,0.0855094614538417,0.9383316707593432,0.5119205661065923,0.0879002717271845,0.1282888203665551
HHDX011,resnet50,0,x,high,0.05,image,marker_hvg_overlap,446,2400,171,0.0456563906457509,0.0385976952797468,-0.3147777200224455,0.2851406931877136,0.1595141589641571,0.6836244622312266,0.0822698299309089,0.940645189168035,0.5114575095494719,0.0852184638031181,0.1253508853370807
HHDX011,resnet50,0,x,high,0.05,spatial_knn,top50_hvg,446,2400,50,0.064995506813284,0.0465333505410842,-0.1027693827242183,0.4850600957870483,0.3424116969108581,0.708558271209328,0.2577870340234177,0.7458462848513383,0.501816659437378,0.2225977703936205,0.3209517303624738
HHDX011,resnet50,0,x,high,0.05,spatial_knn,top200_hvg,446,2400,200,0.0220097184947614,0.0152972525177055,-0.1443507806019988,0.2837143838405609,0.1354901641607284,0.6941526653264284,0.0645921073430637,0.9364077112487412,0.5004999092959025,0.0558981988173106,0.113828805676878
HHDX011,resnet50,0,x,high,0.05,spatial_knn,marker_hvg_overlap,446,2400,171,0.0238337650394166,0.0161833186312893,-0.1499324308542622,0.284207135438919,0.1351070404052734,0.7138662690006339,0.0618480809025187,0.9391157558355387,0.5004819183690288,0.0546209612501866,0.1116507519718225
HHDX011,resnet50,0,x,high,0.1,train_mean,top50_hvg,891,2400,50,-3.205458077459866e-07,,-0.0101898026008325,0.4758428931236267,0.3553203642368316,0.7249039692958331,0.18,0.82,0.5,0.1447975962904332,0.3049083333333333
HHDX011,resnet50,0,x,high,0.1,train_mean,top200_hvg,891,2400,200,-6.063950363843773e-08,,-0.0066652388341339,0.2751431763172149,0.1399115622043609,0.7138512073837597,0.045,0.955,0.5,0.0361993990726083,0.1094583333333333
HHDX011,resnet50,0,x,high,0.1,train_mean,marker_hvg_overlap,891,2400,171,-1.1835320888893108e-07,,-0.0074071270360747,0.2768012583255768,0.1386397033929824,0.7317854876044773,0.0409356725146198,0.95906432748538,0.5,0.034069881841428,0.1072685185185185
HHDX011,resnet50,0,x,high,0.1,coordinate,top50_hvg,891,2400,50,0.0466660354053601,0.0417373628633511,-0.0418850457808002,0.4786849915981293,0.3386310636997223,0.7189702528494492,0.2094599231654788,0.7997200003767042,0.5045899617710914,0.1849939914376043,0.3184421941518207
HHDX011,resnet50,0,x,high,0.1,coordinate,top200_hvg,891,2400,200,0.0171714369341498,0.0160181931137757,-0.050082947127812,0.2780417799949646,0.1359205842018127,0.7062481783422222,0.0523649807913697,0.9499300000941762,0.5011474904427728,0.046248497859401,0.1162221662835438
HHDX011,resnet50,0,x,high,0.1,coordinate,marker_hvg_overlap,891,2400,171,0.0193077426855465,0.0179021656961063,-0.0510594764331557,0.278953343629837,0.1336884647607803,0.7252193546724717,0.0450675157493407,0.957822492654375,0.5014450042018579,0.0417553702002206,0.1154256560747656
HHDX011,resnet50,0,x,high,0.1,image,top50_hvg,891,2400,50,0.1552344764769077,0.138128321977974,-0.1109803213458508,0.460846483707428,0.3361196517944336,0.6974232950555075,0.2656834080800333,0.8225461458778976,0.5441147769789654,0.2797404146257908,0.3574442175327522
HHDX011,resnet50,0,x,high,0.1,image,top200_hvg,891,2400,200,0.0525775779028117,0.0455919307114521,-0.1984555975242983,0.2751674354076385,0.1492823213338852,0.6779509026320393,0.0694103883939877,0.9547203103322824,0.5120653493631351,0.073994294634521,0.1299450486115694
HHDX011,resnet50,0,x,high,0.1,image,marker_hvg_overlap,891,2400,171,0.0525651934261114,0.0444673856639571,-0.2075310846455722,0.2753550410270691,0.1482425928115844,0.698387472274337,0.0677371204992121,0.9566930588760896,0.5122150896876508,0.0723469407302116,0.1274094891321372
HHDX011,resnet50,0,x,high,0.1,spatial_knn,top50_hvg,891,2400,50,0.0120158376218751,0.0107640166362764,-0.1190046327072195,0.4951678514480591,0.3438005745410919,0.703602552875451,0.200594449948115,0.8040273835167452,0.5023109167324301,0.1899782861879935,0.3104116842969781
HHDX011,resnet50,0,x,high,0.1,spatial_knn,top200_hvg,891,2400,200,0.0044153368698738,0.0033142701891297,-0.1523193631850881,0.2889151573181152,0.1369965523481369,0.6841931380565708,0.0502507759485672,0.9509198545783164,0.5005853152634419,0.0476638888682144,0.1113511256433413
HHDX011,resnet50,0,x,high,0.1,spatial_knn,marker_hvg_overlap,891,2400,171,0.0055575878679957,0.0039213867550395,-0.1606853045809099,0.2905716896057129,0.1368385255336761,0.7038656859543154,0.0467570639577653,0.9538390257254212,0.5002980448415933,0.0443988658942758,0.1092464817453624
HHDX011,resnet50,0,x,high,0.25,train_mean,top50_hvg,2228,2400,50,8.650379621318577e-07,,-0.0100237774595007,0.4760203957557678,0.3555259108543396,0.7248596582827279,0.18,0.82,0.5,0.1447975962904332,0.3049083333333333
HHDX011,resnet50,0,x,high,0.25,train_mean,top200_hvg,2228,2400,200,2.1000208361154907e-07,,-0.0052318983378859,0.2751904129981994,0.1392858177423477,0.7138073350264393,0.045,0.955,0.5,0.0361993990726083,0.1094583333333333
HHDX011,resnet50,0,x,high,0.25,train_mean,marker_hvg_overlap,2228,2400,171,1.9472055878103569e-07,,-0.0058098837744209,0.2768726646900177,0.1380525827407837,0.7316778502963184,0.0409356725146198,0.95906432748538,0.5,0.034069881841428,0.1072685185185185
