encoder,ratio,mean,std
conch,0.05,0.17786232737271346,0.0133904982128163
conch,0.1,0.21292290020035576,0.016420123926113906
conch,0.25,0.256339419549804,0.014480037741277168
conch,1.0,0.29239851849968546,0.01704096897044291
ctranspath,0.05,0.16183696189429606,0.02511208704385365
ctranspath,0.1,0.18550834421883333,0.019502016872416393
ctranspath,0.25,0.22150302764501242,0.019208197135218007
ctranspath,1.0,0.2592841220414266,0.018653697460343125
hoptimus0,0.05,0.2047459632781101,0.021097913865771912
hoptimus0,0.1,0.23343973607057703,0.017643869790260315
hoptimus0,0.25,0.2689927140460349,0.016997295118049514
hoptimus0,1.0,0.3068860954861157,0.022500637552248248
phikon,0.05,0.1681639999581966,0.021665874084345383
phikon,0.1,0.2001189298770623,0.017315041840268625
phikon,0.25,0.23653882549842817,0.023020736923557484
phikon,1.0,0.27327743889996775,0.024905521611407626
resnet50,0.05,0.13975510220916473,0.010703722757996033
resnet50,0.1,0.1597905226872535,0.012777841679175573
resnet50,0.25,0.1899888987047597,0.011790660593279309
resnet50,1.0,0.22086695455116567,0.01326092804806586
uni,0.05,0.18798571278399318,0.020131498345355773
uni,0.1,0.2179740838846191,0.019841906459598338
uni,0.25,0.2591811348113697,0.021395296051519828
uni,1.0,0.29519827771699053,0.024826705984334476
uni2,0.05,0.19742732816142958,0.018132283864059975
uni2,0.1,0.22471779204206538,0.023832212470865602
uni2,0.25,0.25669985545799134,0.02594569399340535
uni2,1.0,0.29539840415585783,0.026821864779747986
