sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
FFMB028,conch,0,x,high,cell_image,top50_hvg,8875,2400,4.705882,50,0.4701642961800098,0.4572938254549795,0.1939383703283965,0.6233687996864319,0.5025614500045776,0.5277680860512495,0.8409736632978622,0.3917516593075831,0.6163626613027227,0.7251678216777901,0.7512181974934922
FFMB028,conch,0,x,high,cell_image,top200_hvg,8875,2400,4.705882,200,0.343319981645327,0.3289731132161645,0.0880137499113334,0.4696459174156189,0.3647733330726623,0.5113592905147687,0.4564940130216514,0.735824806118539,0.5961594095700952,0.4516899157756143,0.5239070561301428
FFMB028,conch,0,x,high,train_mean,top50_hvg,8875,2400,4.705882,50,5.861168993703813e-07,,-0.0453691889960828,0.7232678532600403,0.6074626445770264,0.4758808205732473,0.96,0.04,0.5,0.6835102115629492,0.554575
FFMB028,conch,0,x,high,train_mean,top200_hvg,8875,2400,4.705882,200,3.938556226349829e-07,,-0.0304171641002801,0.5187506675720215,0.4189079701900482,0.4803038724705754,0.305,0.695,0.5,0.2116251953936657,0.3547958333333333
FFMB028,conch,0,x,high,pseudo_spot_8um,top50_hvg,8875,2400,4.705882,50,0.4700860391557216,0.4574731136132843,0.194335749708116,0.6230984926223755,0.5022473931312561,0.5283644334165212,0.8417012591733402,0.3915978497308934,0.6166495544521168,0.7256131436775692,0.751333126801597
FFMB028,conch,0,x,high,pseudo_spot_8um,top200_hvg,8875,2400,4.705882,200,0.3431219330220483,0.3288737404227834,0.087346954413224,0.4695959091186523,0.3648039996623993,0.5116591433600332,0.4582438881964476,0.7344383243667384,0.5963411062815931,0.4526506444317963,0.523918453284174
FFMB028,conch,0,x,high,pseudo_spot_16um,top50_hvg,8875,2400,4.705882,50,0.4564635571837425,0.4435406972142768,0.1783578571304679,0.6298609375953674,0.5084292888641357,0.5261430521269371,0.8463109116904957,0.3732255748791069,0.6097682432848014,0.7231924160281267,0.7437877810652236
FFMB028,conch,0,x,high,pseudo_spot_16um,top200_hvg,8875,2400,4.705882,200,0.3322186545142904,0.3176443467215699,0.0778669791453285,0.47304567694664,0.3684155344963074,0.5103947710980877,0.4601524690280075,0.724599246386765,0.5923758577073862,0.4497960370274929,0.517051010708568
FFMB028,conch,0,x,high,pseudo_spot_55um,top50_hvg,8875,2400,4.705882,50,0.3328607839345932,0.3202797608429697,0.0832652435795171,0.6727268099784851,0.5465922951698303,0.5184998174478195,0.8393550403407088,0.3080295277576853,0.5736922840491969,0.7032483727557097,0.6855327843779123
FFMB028,conch,0,x,high,pseudo_spot_55um,top200_hvg,8875,2400,4.705882,200,0.232259103860706,0.2206385282340178,0.0191011625243118,0.4954380095005035,0.3869150578975677,0.5016833954313474,0.3865016199883387,0.7192835708632498,0.5528925954257943,0.3708205684577963,0.45931477836899
