sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,conch,0,x,high,cell_image,top50_hvg,19590,5274,1.0,50,0.2729769620299339,0.2423190642484527,0.0856399954552762,0.4140559136867523,0.3048811852931976,0.7624994229730516,0.2586415556909581,0.8429887504418428,0.5508151530664004,0.2782410149785075,0.4204728502568246
HHDX011,conch,0,x,high,cell_image,top200_hvg,19590,5274,1.0,200,0.1271349205615115,0.1113153325761488,0.0143617762435405,0.2487166970968246,0.1242056787014007,0.7474558521176584,0.065823984307476,0.9606583262344636,0.5132411552709698,0.071059661942541,0.1586901866231799
HHDX011,conch,0,x,high,train_mean,top50_hvg,19590,5274,1.0,50,9.9122158303544e-08,,-0.0072627190297362,0.4656816720962524,0.3488772511482239,0.7455365749921238,0.18,0.82,0.5,0.1470415242062723,0.3127303754266212
HHDX011,conch,0,x,high,train_mean,top200_hvg,19590,5274,1.0,200,9.98945727344325e-08,,-0.0031226556137994,0.2706575095653534,0.1367663145065307,0.7351179784825352,0.045,0.955,0.5,0.036760381051568,0.1116751990898748
HHDX011,conch,0,x,high,pseudo_spot_8um,top50_hvg,19590,5274,1.0,50,0.2729769226908684,0.2423192584392226,0.0856400836049579,0.4140558838844299,0.30488121509552,0.7624994590636619,0.2586415556909581,0.8429887504418428,0.5508151530664004,0.2782410149785075,0.4204731915310812
HHDX011,conch,0,x,high,pseudo_spot_8um,top200_hvg,19590,5274,1.0,200,0.1271348969390965,0.1113153964855452,0.0143618177266125,0.2487166821956634,0.1242056861519813,0.7474558927702689,0.065823984307476,0.9606583262344636,0.5132411552709698,0.071059661942541,0.1586902554026964
HHDX011,conch,0,x,high,pseudo_spot_16um,top50_hvg,19590,5274,1.0,50,0.2729769633710384,0.2423193459663382,0.0856398903229273,0.4140559434890747,0.3048813343048095,0.7624993834954997,0.2586415556909581,0.8429887504418428,0.5508151530664004,0.2782410149785075,0.4204730748069352
HHDX011,conch,0,x,high,pseudo_spot_16um,top200_hvg,19590,5274,1.0,200,0.1271348837643745,0.1113154525820661,0.0143617530081337,0.2487167119979858,0.1242057085037231,0.7474558264518029,0.065823984307476,0.9606583262344636,0.5132411552709698,0.071059661942541,0.1586902389132211
HHDX011,conch,0,x,high,pseudo_spot_55um,top50_hvg,19590,5274,1.0,50,0.2736342303454876,0.2423143316092884,0.0867967159859836,0.4136258959770202,0.3055194318294525,0.762258213940857,0.2647736667594127,0.8389507231151666,0.5518621949372896,0.2831658522480724,0.4213180303502672
HHDX011,conch,0,x,high,pseudo_spot_55um,top200_hvg,19590,5274,1.0,200,0.127132789640309,0.1109530804251308,0.0144612348465087,0.2485469728708267,0.1248367130756378,0.7473459461966643,0.0674133220475839,0.959665291430582,0.5135393067390831,0.0724019714349677,0.1591227437877959
HHDX011,conch,1,y,high,cell_image,top50_hvg,19803,5274,1.0,50,0.323265563249588,0.3065521152873369,0.1048930553672835,0.4595128297805786,0.3353837430477142,0.5919068490461972,0.3082684793138334,0.8332483260812745,0.570758402697554,0.309543206608688,0.4604030540519
HHDX011,conch,1,y,high,cell_image,top200_hvg,19803,5274,1.0,200,0.1580052522849291,0.1474448886188625,0.0299095059732127,0.2840815782546997,0.1446175426244735,0.5997394484227353,0.0776007455594525,0.958157397424458,0.5178790714919552,0.0781978150003366,0.1889918581778326
HHDX011,conch,1,y,high,train_mean,top50_hvg,19803,5274,1.0,50,-7.80336956154315e-07,,-0.0538578823356419,0.5725321769714355,0.3992985785007477,0.5100852162029673,0.18,0.82,0.5,0.1304640746596434,0.3092453545695866
HHDX011,conch,1,y,high,train_mean,top200_hvg,19803,5274,1.0,200,-1.3333122062253456e-07,,-0.0197003176333441,0.3324806690216064,0.1560847610235214,0.538014196881823,0.045,0.955,0.5,0.0326160186649108,0.122249715585893
HHDX011,conch,1,y,high,pseudo_spot_8um,top50_hvg,19803,5274,1.0,50,0.3232655096054077,0.3065520504360134,0.1048929930245503,0.4595128893852234,0.3353838324546814,0.5919067803457606,0.3082684793138334,0.8332483260812745,0.570758402697554,0.309543206608688,0.460402641142548
HHDX011,conch,1,y,high,pseudo_spot_8um,top200_hvg,19803,5274,1.0,200,0.1580051983240991,0.1474447313947323,0.0299094823250408,0.2840815782546997,0.1446175426244735,0.5997394063216367,0.0776007455594525,0.958157397424458,0.5178790714919552,0.0781978150003366,0.1889915649299502
HHDX011,conch,1,y,high,pseudo_spot_16um,top50_hvg,19803,5274,1.0,50,0.3231977368891239,0.3065142604699258,0.1048230136279016,0.459532231092453,0.3354019820690155,0.5919017216700008,0.3083102451838322,0.8331469986675907,0.5707286219257114,0.3095530913718315,0.4603445903664955
