seed,spot_microns,n_test_cells,n_test_spots,median_cells_per_spot,p95_cells_per_spot,fraction_spots_mixed_cell_type,fraction_cells_in_mixed_spots,density_source,n_available_cells,sample
0,8.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
0,16.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
0,55.0,5274,4983,1.0,2.0,0.0353200883002207,0.0701554797117937,full_mixing_manifest,26366,HHDX011
1,8.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
1,16.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
1,55.0,5274,4895,1.0,2.0,0.0414708886618999,0.0830489192263936,full_mixing_manifest,26366,HHDX011
2,8.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
2,16.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
2,55.0,5274,4916,1.0,2.0,0.0392595606183889,0.0779294653014789,full_mixing_manifest,26366,HHDX011
3,8.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
3,16.0,5274,5274,1.0,1.0,0.0,0.0,full_mixing_manifest,26366,HHDX011
3,55.0,5274,4957,1.0,2.0,0.0373209602582206,0.0745164960182025,full_mixing_manifest,26366,HHDX011
0,8.0,32451,32450,1.0,1.0,3.081664098613251e-05,6.163138270007087e-05,full_mixing_manifest,162254,HLCX022
0,16.0,32451,32196,1.0,1.0,0.0056528761336812,0.0112169116514128,full_mixing_manifest,162254,HLCX022
0,55.0,32451,13241,2.0,5.0,0.5941394154520051,0.7720871467751379,full_mixing_manifest,162254,HLCX022
1,8.0,32451,32449,1.0,1.0,3.081759068076058e-05,6.163138270007087e-05,full_mixing_manifest,162254,HLCX022
1,16.0,32451,32296,1.0,1.0,0.0032202130294773,0.0064096638008073,full_mixing_manifest,162254,HLCX022
1,55.0,32451,14788,2.0,4.0,0.554774141195564,0.738343964746849,full_mixing_manifest,162254,HLCX022
2,8.0,32451,32451,1.0,1.0,0.0,0.0,full_mixing_manifest,162254,HLCX022
2,16.0,32451,32308,1.0,1.0,0.0034356815649374,0.0068410834797078,full_mixing_manifest,162254,HLCX022
2,55.0,32451,14131,2.0,4.0,0.6155261481848419,0.7821638778465995,full_mixing_manifest,162254,HLCX022
3,8.0,32451,32449,1.0,1.0,3.081759068076058e-05,6.163138270007087e-05,full_mixing_manifest,162254,HLCX022
3,16.0,32451,32306,1.0,1.0,0.0033120782517179,0.0065945579489075,full_mixing_manifest,162254,HLCX022
3,55.0,32451,13402,2.0,5.0,0.6637815251455007,0.809528211765431,full_mixing_manifest,162254,HLCX022
