seed,spot_microns,n_test_cells,n_test_spots,median_cells_per_spot,p95_cells_per_spot,fraction_spots_mixed_cell_type,fraction_cells_in_mixed_spots,density_source,n_available_cells,sample
0,8.0,2400,2332,1.0,1.0,0.0162950257289879,0.0325,embedding_manifest,12000,FFMB028
0,16.0,2400,2067,1.0,2.0,0.0924044508950169,0.17875,embedding_manifest,12000,FFMB028
0,55.0,2400,850,2.0,7.0,0.6129411764705882,0.7995833333333333,embedding_manifest,12000,FFMB028
1,8.0,2400,2322,1.0,1.0,0.0193798449612403,0.0379166666666666,embedding_manifest,12000,FFMB028
1,16.0,2400,2062,1.0,2.0,0.0775945683802133,0.1495833333333333,embedding_manifest,12000,FFMB028
1,55.0,2400,875,2.0,6.0,0.5108571428571429,0.70375,embedding_manifest,12000,FFMB028
2,8.0,2400,2298,1.0,1.0,0.0217580504786771,0.0454166666666666,embedding_manifest,12000,FFMB028
2,16.0,2400,2044,1.0,2.0,0.0821917808219178,0.1670833333333333,embedding_manifest,12000,FFMB028
2,55.0,2400,879,2.0,6.0,0.558589306029579,0.7433333333333333,embedding_manifest,12000,FFMB028
3,8.0,2400,2320,1.0,1.0,0.0193965517241379,0.0404166666666666,embedding_manifest,12000,FFMB028
3,16.0,2400,2065,1.0,2.0,0.0929782082324455,0.1854166666666666,embedding_manifest,12000,FFMB028
3,55.0,2400,875,2.0,6.0,0.5862857142857143,0.765,embedding_manifest,12000,FFMB028
0,8.0,2400,2260,1.0,2.0,0.0367256637168141,0.0729166666666666,embedding_manifest,12000,HLCX022
0,16.0,2400,1895,1.0,2.0,0.1451187335092348,0.26625,embedding_manifest,12000,HLCX022
0,55.0,2400,645,3.0,9.0,0.7255813953488373,0.8908333333333334,embedding_manifest,12000,HLCX022
1,8.0,2400,2271,1.0,2.0,0.0343461030383091,0.0695833333333333,embedding_manifest,12000,HLCX022
1,16.0,2400,1872,1.0,2.0,0.1495726495726495,0.2716666666666666,embedding_manifest,12000,HLCX022
1,55.0,2400,640,3.0,9.0,0.6921875,0.87375,embedding_manifest,12000,HLCX022
2,8.0,2400,2310,1.0,1.0,0.029004329004329,0.0583333333333333,embedding_manifest,12000,HLCX022
2,16.0,2400,1977,1.0,2.0,0.1370763783510369,0.2620833333333333,embedding_manifest,12000,HLCX022
2,55.0,2400,669,3.0,8.0,0.7548579970104634,0.9154166666666668,embedding_manifest,12000,HLCX022
3,8.0,2400,2322,1.0,1.0,0.0249784668389319,0.0495833333333333,embedding_manifest,12000,HLCX022
3,16.0,2400,2051,1.0,2.0,0.1116528522671867,0.2141666666666666,embedding_manifest,12000,HLCX022
3,55.0,2400,722,3.0,7.0,0.7742382271468145,0.9129166666666668,embedding_manifest,12000,HLCX022
0,8.0,2400,2396,1.0,1.0,0.0004173622704507,0.0008333333333333,embedding_manifest,12000,FFHO026
0,16.0,2400,2349,1.0,1.0,0.014899957428693,0.0304166666666666,embedding_manifest,12000,FFHO026
0,55.0,2400,1919,1.0,2.0,0.160500260552371,0.2983333333333333,embedding_manifest,12000,FFHO026
1,8.0,2400,2389,1.0,1.0,0.0029300962745918,0.0058333333333333,embedding_manifest,12000,FFHO026
1,16.0,2400,2339,1.0,1.0,0.0183839247541684,0.0375,embedding_manifest,12000,FFHO026
1,55.0,2400,1884,1.0,2.0,0.1671974522292993,0.3091666666666666,embedding_manifest,12000,FFHO026
2,8.0,2400,2379,1.0,1.0,0.0050441361916771,0.01,embedding_manifest,12000,FFHO026
2,16.0,2400,2312,1.0,1.0,0.0237889273356401,0.0525,embedding_manifest,12000,FFHO026
2,55.0,2400,1826,1.0,3.0,0.164841182913472,0.3225,embedding_manifest,12000,FFHO026
3,8.0,2400,2386,1.0,1.0,0.0029337803855825,0.0058333333333333,embedding_manifest,12000,FFHO026
3,16.0,2400,2316,1.0,1.0,0.0246113989637305,0.0508333333333333,embedding_manifest,12000,FFHO026
3,55.0,2400,1854,1.0,2.0,0.1585760517799352,0.3141666666666666,embedding_manifest,12000,FFHO026
0,8.0,2400,2381,1.0,1.0,0.0054598908021839,0.0108333333333333,embedding_manifest,12000,HBCH024
0,16.0,2400,2305,1.0,1.0,0.0290672451193058,0.06125,embedding_manifest,12000,HBCH024
0,55.0,2400,1781,1.0,3.0,0.2172936552498596,0.3979166666666666,embedding_manifest,12000,HBCH024
1,8.0,2400,2361,1.0,1.0,0.013130029648454,0.02625,embedding_manifest,12000,HBCH024
1,16.0,2400,2260,1.0,2.0,0.0451327433628318,0.0933333333333333,embedding_manifest,12000,HBCH024
1,55.0,2400,1679,1.0,3.0,0.2572960095294818,0.46375,embedding_manifest,12000,HBCH024
2,8.0,2400,2357,1.0,1.0,0.0148493848112006,0.0295833333333333,embedding_manifest,12000,HBCH024
2,16.0,2400,2237,1.0,2.0,0.0554313813142601,0.1108333333333333,embedding_manifest,12000,HBCH024
2,55.0,2400,1678,1.0,3.0,0.2467222884386174,0.4491666666666666,embedding_manifest,12000,HBCH024
3,8.0,2400,2359,1.0,1.0,0.0148367952522255,0.0295833333333333,embedding_manifest,12000,HBCH024
