sample,density_source,spot_microns,median_cells_per_spot,p95_cells_per_spot,fraction_spots_mixed_cell_type,fraction_cells_in_mixed_spots
FFHO026,embedding_manifest,8.0,1.0,1.0,0.002831343780575525,0.005624999999999975
FFHO026,embedding_manifest,16.0,1.0,1.0,0.020421052120558,0.042812499999999976
FFHO026,embedding_manifest,55.0,1.0,2.25,0.16277873686876937,0.3110416666666666
FFMB028,embedding_manifest,8.0,1.0,1.0,0.0192073682232608,0.03906249999999995
FFMB028,embedding_manifest,16.0,1.0,2.0,0.08629225208239838,0.1702083333333333
FFMB028,embedding_manifest,55.0,2.0,6.25,0.5671683349107561,0.7529166666666667
HBCH024,embedding_manifest,8.0,1.0,1.0,0.012069025128516,0.024062499999999973
HBCH024,embedding_manifest,16.0,1.0,1.75,0.04543679567849808,0.0920833333333333
HBCH024,embedding_manifest,55.0,1.0,3.0,0.244824673054339,0.4420833333333333
HLCX022,embedding_manifest,8.0,1.0,1.5,0.031263640649596025,0.06260416666666663
HLCX022,embedding_manifest,16.0,1.0,2.0,0.13585515342502696,0.2535416666666666
HLCX022,embedding_manifest,55.0,3.0,8.25,0.7367162798765288,0.8982291666666667
HSDX009,embedding_manifest,8.0,1.0,1.0,0.009962443464733425,0.020104166666666624
HSDX009,embedding_manifest,16.0,1.0,2.0,0.07338555403697794,0.14541666666666664
HSDX009,embedding_manifest,55.0,1.25,5.5,0.4137958190638528,0.6777083333333334
WMPP017,embedding_manifest,8.0,1.0,1.0,0.00556837852828165,0.011145833333333275
WMPP017,embedding_manifest,16.0,1.0,1.0,0.023010990128135574,0.04729166666666665
WMPP017,embedding_manifest,55.0,1.0,2.75,0.16460065979402444,0.3225
