cell_type,n_cells,model,pseudobulk_pearson,pseudobulk_rmse_log1p,sample,encoder,seed,ratio,n_genes,species,organ,condition
"CD8-positive, alpha-beta T cell.",21,train_mean,0.7117998003959656,0.3073928356170654,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
"CD8-positive, alpha-beta T cell.",21,coordinate,0.5069307684898376,0.2708218395709991,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
"CD8-positive, alpha-beta T cell.",21,image,0.7555265426635742,0.1951652318239212,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
"CD8-positive, alpha-beta T cell.",21,spatial_knn,0.6964288353919983,0.33585986495018,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,47,train_mean,0.7118799686431885,0.2651973068714142,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,47,coordinate,0.5473865866661072,0.276824802160263,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,47,image,0.757676899433136,0.2133252620697021,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,47,spatial_knn,0.6772933006286621,0.2562246918678283,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,307,train_mean,0.8871426582336426,0.252762883901596,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,307,coordinate,0.8325157761573792,0.3598522543907165,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,307,image,0.9501073360443116,0.1431623995304107,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,307,spatial_knn,0.9447254538536072,0.2223039120435714,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,182,train_mean,0.9403668642044068,0.1886456310749054,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,182,coordinate,0.8184854984283447,0.1713383644819259,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,182,image,0.9580815434455872,0.1040116474032402,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,182,spatial_knn,0.9224936366081238,0.1899868696928024,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,273,train_mean,0.9405317902565002,0.1757870614528656,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,273,coordinate,0.7874186038970947,0.1827358603477478,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,273,image,0.9620488286018372,0.0859906449913978,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,273,spatial_knn,0.9082393646240234,0.1726817339658737,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,596,train_mean,0.8962538242340088,0.2237229198217392,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,596,coordinate,0.834133505821228,0.3312272131443023,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,596,image,0.9496851563453674,0.1396669894456863,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,596,spatial_knn,0.952241837978363,0.1879150718450546,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,20,train_mean,0.897786021232605,0.3340325951576233,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,20,coordinate,0.7481866478919983,0.4937184154987335,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,20,image,0.934188723564148,0.2241912633180618,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,20,spatial_knn,0.9293673038482666,0.3333796858787536,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,152,train_mean,0.9130021333694458,0.1920125633478164,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,152,coordinate,0.7881863713264465,0.3224915862083435,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,152,image,0.956619143486023,0.1252024620771408,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell.,152,spatial_knn,0.9363539814949036,0.1656097471714019,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,71,train_mean,0.6979003548622131,0.2844593226909637,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,71,coordinate,0.5279908180236816,0.2855613529682159,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,71,image,0.8840023875236511,0.136388748884201,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
fibroblast.,71,spatial_knn,0.5919458270072937,0.3103901445865631,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
goblet cell.,30,train_mean,0.8772615790367126,0.3120383322238922,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
goblet cell.,30,coordinate,0.8022140860557556,0.4267543852329254,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
goblet cell.,30,image,0.9318543672561646,0.1837643831968307,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
goblet cell.,30,spatial_knn,0.9359995126724244,0.2908200025558471,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,train_mean,0.8662289977073669,0.3238299787044525,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,coordinate,0.8304763436317444,0.42349973320961,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,image,0.9361729621887208,0.1866430044174194,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
intestinal epithelial cell.,103,spatial_knn,0.937156617641449,0.2851032018661499,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,train_mean,0.6701310276985168,0.2800404727458954,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,coordinate,0.4509865641593933,0.3608714342117309,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,image,0.7352302670478821,0.2454287558794021,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,268,spatial_knn,0.593410849571228,0.3090388178825378,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,train_mean,0.7104294300079346,0.2884795069694519,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,coordinate,0.4399087131023407,0.4231778681278229,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,image,0.726759135723114,0.2880704700946808,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
monocyte.,20,spatial_knn,0.6673324108123779,0.3085263967514038,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,train_mean,0.8246316313743591,0.2158992439508438,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,coordinate,0.627254843711853,0.2482684105634689,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,image,0.8674078583717346,0.2297553271055221,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,30,spatial_knn,0.7950177788734436,0.1954250037670135,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,train_mean,0.5522063374519348,0.3286709487438202,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,coordinate,0.4562955200672149,0.3386818766593933,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,image,0.6136932969093323,0.2755898535251617,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
plasma cell.,29,spatial_knn,0.4912039637565613,0.3200428485870361,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,train_mean,0.7565515637397766,0.2503107190132141,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,coordinate,0.5987204313278198,0.2695389688014984,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,image,0.8841899633407593,0.1415773183107376,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,23,spatial_knn,0.6353352665901184,0.2428158074617386,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,train_mean,0.7113724946975708,0.3357381820678711,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,coordinate,0.5545427799224854,0.2734909653663635,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,image,0.9049456119537354,0.1031914949417114,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,123,spatial_knn,0.6081135869026184,0.3127074241638183,FFHO026,conch,0,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,train_mean,0.668679416179657,0.2817999124526977,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,coordinate,0.6620187163352966,0.296588271856308,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,image,0.7083042860031128,0.26116743683815,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,43,spatial_knn,0.6568142771720886,0.2803020179271698,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,train_mean,0.9317321181297302,0.2192152291536331,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,coordinate,0.9035851955413818,0.226175457239151,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,image,0.9784496426582336,0.1041566655039787,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,218,spatial_knn,0.941794753074646,0.1881222277879715,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,train_mean,0.9145660996437072,0.1852147728204727,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,coordinate,0.925383687019348,0.2070493400096893,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,image,0.9546193480491638,0.0978396460413932,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,239,spatial_knn,0.9436692595481871,0.1066852957010269,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,train_mean,0.923413097858429,0.146311730146408,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,coordinate,0.9613080024719238,0.143839418888092,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,image,0.9727726578712464,0.0658574402332305,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,337,spatial_knn,0.941958487033844,0.1160025894641876,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,460,train_mean,0.955925464630127,0.2152859717607498,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,460,coordinate,0.9052694439888,0.2349135875701904,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,460,image,0.9853108525276184,0.1025294288992881,FFHO026,conch,1,1.0,200,human,ovary,ovarian adenocarcinoma
