sample,species,organ,condition,model,n_cell_types,pseudobulk_pearson,pseudobulk_rmse_log1p
FFHO026,human,ovary,ovarian adenocarcinoma,coordinate,17,0.7712054305842945,0.2915136417640107
FFHO026,human,ovary,ovarian adenocarcinoma,image,17,0.8888399356177875,0.1694605573346572
FFHO026,human,ovary,ovarian adenocarcinoma,spatial_knn,17,0.8158898992197854,0.2542874161154031
FFHO026,human,ovary,ovarian adenocarcinoma,train_mean,17,0.8117277600935527,0.25623306725174183
FFMB028,mouse,brain,brain hemisphere,coordinate,11,0.6773136456807455,0.2902804498489086
FFMB028,mouse,brain,brain hemisphere,image,11,0.8531580536793439,0.15776829459728334
FFMB028,mouse,brain,brain hemisphere,spatial_knn,11,0.7152862449487051,0.27589378372216833
FFMB028,mouse,brain,brain hemisphere,train_mean,11,0.7404222946900588,0.2607475610879751
FFMC016,mouse,colon,colon,coordinate,19,0.5380373759848525,0.504343813591039
FFMC016,mouse,colon,colon,image,19,0.9341450793974435,0.17637396114530846
FFMC016,mouse,colon,colon,spatial_knn,19,0.71602713564105,0.3729692673060431
FFMC016,mouse,colon,colon,train_mean,19,0.7199874893942876,0.3716222072270379
HBCA041,human,breast,breast IDC,coordinate,18,0.5763237534365693,0.2791016355889743
HBCA041,human,breast,breast IDC,image,18,0.8661902840020227,0.14854992645197224
HBCA041,human,breast,breast IDC,spatial_knn,18,0.6375595340963269,0.262525775637783
HBCA041,human,breast,breast IDC,train_mean,18,0.6303883241336854,0.25989543341222354
HBCD036,human,brain,glioblastoma,coordinate,7,0.7734682574868202,0.2828933265060186
HBCD036,human,brain,glioblastoma,image,7,0.8342876017093659,0.1770525630563497
HBCD036,human,brain,glioblastoma,spatial_knn,7,0.784769381582737,0.2546619735658168
HBCD036,human,brain,glioblastoma,train_mean,7,0.7817302465438842,0.2624527275562286
HBCH024,human,breast,breast cancer,coordinate,27,0.28568701037272276,0.05392507890860235
HBCH024,human,breast,breast cancer,image,27,0.5534966654543366,0.02939036318411425
HBCH024,human,breast,breast cancer,spatial_knn,27,0.3130851057244789,0.05219983518123622
HBCH024,human,breast,breast cancer,train_mean,27,0.3963279832420605,0.05016738896568612
HBES040,human,breast,breast IDC,coordinate,16,0.7638547010719776,0.2342345138479556
HBES040,human,breast,breast IDC,image,16,0.8770855015942028,0.1597663086972066
