sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,f1_gene_macro,auprc_gene_macro,n_genes
FFHO026,human,ovary,ovarian adenocarcinoma,coordinate,0.03618127796799087,0.0324270324090202,0.28252679807810466,0.3968984809911669,194.25
FFHO026,human,ovary,ovarian adenocarcinoma,image,0.28034914670369165,0.27175129710772095,0.41540594496685157,0.5011617488438312,194.25
FFHO026,human,ovary,ovarian adenocarcinoma,spatial_knn,0.025583379726723525,0.0245431488971302,0.37980258793707133,0.3954975623525423,194.25
FFHO026,human,ovary,ovarian adenocarcinoma,train_mean,-3.9310767046785724e-07,,0.26594704342070824,0.3847023172335606,194.25
FFMB028,mouse,brain,brain hemisphere,coordinate,0.0024589134047759004,0.003281924005408739,0.22859659350827477,0.3673380606536806,150.25
FFMB028,mouse,brain,brain hemisphere,image,0.33449702009183474,0.327110152877577,0.4578897345980114,0.5323013980698151,150.25
FFMB028,mouse,brain,brain hemisphere,spatial_knn,0.01582643516202785,0.013980224111407575,0.33701220960267436,0.3772538399154895,150.25
FFMB028,mouse,brain,brain hemisphere,train_mean,2.5544167121167246e-07,,0.20670887701221402,0.3702223877851361,150.25
FFMC016,mouse,colon,colon,coordinate,-0.059485978666154675,-0.06344460331181988,0.18208349432658497,0.23622530652697132,156.25
FFMC016,mouse,colon,colon,image,0.35965620810870624,0.322345517917804,0.33249372328689497,0.42710321823015657,156.25
FFMC016,mouse,colon,colon,spatial_knn,0.035504099375241,0.03548033578470955,0.22487607564681023,0.26460860518461693,156.25
FFMC016,mouse,colon,colon,train_mean,5.2746910959989556e-08,,0.16791557422543113,0.24671261846769643,156.25
HBCA041,human,breast,breast IDC,coordinate,0.03891215596207943,0.037859157773067975,0.1709765886289349,0.27158376934189843,180.25
HBCA041,human,breast,breast IDC,image,0.31842174728252354,0.3012123532432328,0.31554829886787883,0.42285787172252154,180.25
HBCA041,human,breast,breast IDC,spatial_knn,0.012681135532129125,0.01288657439766565,0.22467481532966121,0.2597761851693681,180.25
HBCA041,human,breast,breast IDC,train_mean,1.7581618485983418e-07,,0.1485057427054837,0.2524786440668036,180.25
