sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,species,organ,condition
FFHO026,conch,0,x,high,0.1,train_mean,top50_hvg,889,2400,50,1.3735279272708566e-06,,-0.0606691661370132,0.7908450961112976,0.6545395851135254,0.4795245371158191,0.92,0.08,0.5,0.6834580424228229,0.5909166666666666,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,train_mean,top200_hvg,889,2400,200,6.841843306126805e-07,,-0.0365519322612317,0.5622656941413879,0.4409187138080597,0.5146085133800987,0.355,0.645,0.5,0.2520246777795341,0.37959375,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,train_mean,marker_hvg_overlap,889,2400,195,7.317850253558006e-07,,-0.0370288069533321,0.5650370717048645,0.4435623288154602,0.5156953879487997,0.358974358974359,0.6410256410256411,0.5,0.2552413714213773,0.3820619658119658,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,coordinate,top50_hvg,889,2400,50,0.0011838027811609,0.0018102802395077,-0.1388139766361564,0.8298580050468445,0.659849226474762,0.4255985290337299,0.7301872264382547,0.2694404768496417,0.4998138516439481,0.6031755459660532,0.5931641404880466,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,coordinate,top200_hvg,889,2400,200,-0.0051312790610609,-0.0052182192602019,-0.0958829453549697,0.5816988945007324,0.4314632713794708,0.4739736934382481,0.3013611544071196,0.6959110001821238,0.4986360772946218,0.2432537596915778,0.3799011289167994,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,coordinate,marker_hvg_overlap,889,2400,195,-0.0055530687731777,-0.005481051129445,-0.0962205113469957,0.5846183896064758,0.4347372353076935,0.4744859357990245,0.3090883634944817,0.6881138463406399,0.4986011049175608,0.2494910355811055,0.3821803627158806,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,image,top50_hvg,889,2400,50,0.3407952842861414,0.3384200103989008,0.0250453189946711,0.7376177310943604,0.5845170617103577,0.4955880084991713,0.8424489825955638,0.3469905550407106,0.5947197688181373,0.7297996538303986,0.7104740311673307,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,image,top200_hvg,889,2400,200,0.2098768124310299,0.20901199834768,-0.0660863029869506,0.5493171811103821,0.4156917035579681,0.4922862583673037,0.4605593984828035,0.6656318698487713,0.5630956341657875,0.432801873977216,0.4638123661591631,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,image,marker_hvg_overlap,889,2400,195,0.2113878052538404,0.2103612547549504,-0.0649559108594145,0.5514833927154541,0.4175595641136169,0.4943895740113314,0.4653840624125367,0.6618809915683991,0.5636325269904678,0.4370969779365445,0.466694977954243,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,spatial_knn,top50_hvg,889,2400,50,0.0287908791168592,0.0297726772476077,-0.1985638008266687,0.8521776795387268,0.6715490221977234,0.4356319428465975,0.7317976452399887,0.271105602764159,0.5014516240020738,0.6411264590851142,0.6021230551992448,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,spatial_knn,top200_hvg,889,2400,200,0.0093203214518143,0.0095761482714355,-0.164421651288867,0.6021394729614258,0.4393511414527893,0.4647225823049861,0.3380708707654973,0.6664693562124103,0.5022701134889537,0.3165044074759835,0.3850950801627171,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.1,spatial_knn,marker_hvg_overlap,889,2400,195,0.0099213989991814,0.0102101526343985,-0.1644873478473761,0.6051939725875854,0.4422130286693573,0.4661538109764804,0.3431427232641635,0.6610986683793245,0.5021206958217441,0.3205004102163389,0.3876806620930941,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.25,train_mean,top50_hvg,2222,2400,50,-2.2991259811533386e-07,,-0.0570395402453141,0.7898662090301514,0.6557185053825378,0.4850687556156685,0.98,0.02,0.5,0.7178841264919938,0.5909166666666666,human,ovary,ovarian adenocarcinoma
FFHO026,conch,0,x,high,0.25,train_mean,top200_hvg,2222,2400,200,-4.759163030598756e-07,,-0.0325394748077224,0.5614739656448364,0.4435645043849945,0.5171791938767009,0.38,0.62,0.5,0.2665353789724436,0.37959375,human,ovary,ovarian adenocarcinoma
