species,organ,model,mean,std,count
human,brain,coordinate,0.020150934946959728,,1
human,brain,image,0.3315007489174604,,1
human,brain,spatial_knn,0.0447034915631229,,1
human,brain,train_mean,6.063430478420172e-07,,1
human,breast,coordinate,0.05346565995385386,0.015157068703571492,3
human,breast,image,0.40008559918031095,0.10519379368787778,3
human,breast,spatial_knn,0.034627044824378644,0.017967609741312767,3
human,breast,train_mean,4.0079268062664594e-07,4.0473056489112703e-07,3
human,cervix,coordinate,0.0168651798579958,,1
human,cervix,image,0.17849267996381965,,1
human,cervix,spatial_knn,0.014370792893751,,1
human,cervix,train_mean,1.0469054445572121e-08,,1
human,colorectal,coordinate,0.05646088827837953,,1
human,colorectal,image,0.43076839915476733,,1
human,colorectal,spatial_knn,0.08285125251386485,,1
human,colorectal,train_mean,3.668144016177876e-07,,1
human,heart,coordinate,0.010168023882833947,,1
human,heart,image,0.2923984987294534,,1
human,heart,spatial_knn,0.020688948079405252,,1
human,heart,train_mean,1.7718493329432765e-07,,1
human,kidney,coordinate,0.018586902746465052,,1
human,kidney,image,0.40184172917157407,,1
human,kidney,spatial_knn,0.01699624440783735,,1
human,kidney,train_mean,2.0517958238874813e-07,,1
human,liver,coordinate,0.0025533745871143755,,1
human,liver,image,-0.0022765174235974,,1
human,liver,spatial_knn,0.010411620090453624,,1
human,liver,train_mean,1.6163344257691392e-07,,1
human,lung,coordinate,0.06493152263368147,0.010868091554437149,3
human,lung,image,0.3588745171825091,0.03669350412579688,3
human,lung,spatial_knn,0.05331796928614493,0.024957450808366467,3
human,lung,train_mean,-1.2844200150258936e-07,1.7937548359013467e-07,3
human,lymph_node,coordinate,0.0433054268652631,,1
human,lymph_node,image,0.14064221194945273,,1
human,lymph_node,spatial_knn,0.012761214765123425,,1
human,lymph_node,train_mean,-2.7363710864640598e-08,,1
human,ovary,coordinate,0.10068986084530475,0.06800038727696393,3
human,ovary,image,0.3007931944817149,0.10758261215204801,3
human,ovary,spatial_knn,0.08392839431998755,0.047947114079920014,3
human,ovary,train_mean,-8.992762308720497e-09,2.673732274365666e-07,3
human,pancreas,coordinate,0.08714271979314005,0.005827948735826981,3
human,pancreas,image,0.3403142475755885,0.02271774791495577,3
human,pancreas,spatial_knn,0.07320680677306214,0.02482545024942187,3
human,pancreas,train_mean,2.248699692287866e-07,1.63921470858739e-07,3
human,prostate,coordinate,-0.01537751553190905,,1
human,prostate,image,0.26266290977597234,,1
human,prostate,spatial_knn,0.024589988262499276,,1
human,prostate,train_mean,1.3587538121941276e-08,,1
human,skin,coordinate,0.04780192630347374,0.10758206095837454,4
human,skin,image,0.35888666340839515,0.07541597046409391,4
human,skin,spatial_knn,0.08599799265968475,0.052107608232868134,4
human,skin,train_mean,-4.140586687776768e-09,5.7564175880663614e-08,4
human,tonsil,coordinate,0.0281329600195022,,1
human,tonsil,image,0.2938507235969883,,1
human,tonsil,spatial_knn,0.018081556724429525,,1
human,tonsil,train_mean,2.6610278714163845e-07,,1
mouse,bone,coordinate,0.12381569890312677,,1
mouse,bone,image,0.030064965690349502,,1
mouse,bone,spatial_knn,0.055271425583996475,,1
mouse,bone,train_mean,1.8595494061930758e-07,,1
mouse,brain,coordinate,-1.1185425100874134e-05,,1
mouse,brain,image,0.4665753937140107,,1
mouse,brain,spatial_knn,0.02632064471948975,,1
mouse,brain,train_mean,5.637889000809082e-07,,1
mouse,colon,coordinate,-0.13703190643020205,,1
mouse,colon,image,0.614644556939602,,1
mouse,colon,spatial_knn,0.0719640504644485,,1
mouse,colon,train_mean,2.8012122125542266e-07,,1
mouse,whole_pup,coordinate,0.04913449799696535,0.01609017091377797,2
mouse,whole_pup,image,0.3213131670097937,0.10648769070298157,2
mouse,whole_pup,spatial_knn,0.0629369293688081,0.02752953788950825,2
mouse,whole_pup,train_mean,2.162893906389385e-08,2.4771601406848323e-09,2
