sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,pearson_cell_macro,f1_gene_macro,auprc_gene_macro
FFHO026,human,ovary,ovarian adenocarcinoma,coordinate,0.05898162409299398,0.05352326358043113,-0.17619450083846458,0.45685008384668757,0.669347923094322,0.6219564188162403
FFHO026,human,ovary,ovarian adenocarcinoma,image,0.40211196038872,0.3905017434876045,0.14857236412135533,0.5591710453710312,0.7556787881807696,0.7449274059894975
FFHO026,human,ovary,ovarian adenocarcinoma,spatial_knn,0.04320465736062028,0.04247997397022142,-0.21050734217045824,0.437276511075375,0.6892229119125426,0.6220672730399852
FFHO026,human,ovary,ovarian adenocarcinoma,train_mean,-3.1770086602994744e-07,,-0.04710464024571615,0.4744009240343508,0.7179523728905466,0.60573125
FFMB028,mouse,brain,brain hemisphere,coordinate,-1.1185425100874134e-05,-0.0008177258571457251,-0.14835084941267263,0.4300282666449142,0.6199390304017858,0.5565178916557374
FFMB028,mouse,brain,brain hemisphere,image,0.4665753937140107,0.4629417655826925,0.19446753070398698,0.5303552847439182,0.7351904615252853,0.7588619562917471
FFMB028,mouse,brain,brain hemisphere,spatial_knn,0.02632064471948975,0.0214517151840912,-0.2239951454848051,0.40526110985475267,0.63970577536158,0.5756464866876151
FFMB028,mouse,brain,brain hemisphere,train_mean,5.637889000809082e-07,,-0.0379862712807687,0.4715766469377961,0.6864569960611455,0.5659229166666666
FFMC016,mouse,colon,colon,coordinate,-0.13703190643020205,-0.1456392213031638,-0.8971804104122566,0.27480639749679875,0.5243456937132314,0.4933804511236145
FFMC016,mouse,colon,colon,image,0.614644556939602,0.58754193342402,0.3844174306280911,0.7387533402968453,0.7437643699681317,0.7935057752398834
FFMC016,mouse,colon,colon,spatial_knn,0.0719640504644485,0.06897015815290422,-0.3127139398525469,0.3135442069487437,0.5766092126757294,0.5693994842894956
FFMC016,mouse,colon,colon,train_mean,2.8012122125542266e-07,,-0.01563874542204725,0.44960144650784434,0.6229955916356356,0.53039375
HBCA041,human,breast,breast IDC,coordinate,0.049379946816879905,0.05033509443110735,-0.13256125357111156,0.2709765390775295,0.5418216783802716,0.508987434036978
