model,metric,n_samples,macro_mean,bootstrap_95_low,bootstrap_95_high
coordinate,pearson_gene_macro,30,0.04585949245287315,0.022644986792229566,0.0670255144647735
coordinate,spearman_gene_macro,30,0.04121447850953887,0.0180270412445884,0.06278876282539664
coordinate,pearson_cell_macro,30,0.28841659829351746,0.23916600058714257,0.3411152538810029
coordinate,f1_gene_macro,30,0.2829494656380193,0.20709255064656884,0.3643269641405635
image,pearson_gene_macro,30,0.3239847321031131,0.27702476182021757,0.36841030924108537
image,spearman_gene_macro,30,0.29145509855617757,0.24710685834857482,0.33490382386136236
image,pearson_cell_macro,30,0.4418741138148371,0.3884793775219751,0.49436146684422766
image,f1_gene_macro,30,0.4134569764379979,0.3293742287956775,0.49693571017337146
spatial_knn,pearson_gene_macro,30,0.05347059016851657,0.041364038723285916,0.06678794696624935
spatial_knn,spearman_gene_macro,30,0.05145269828474678,0.039505887558068845,0.06421407886669955
spatial_knn,pearson_cell_macro,30,0.26802615202943325,0.2181045914637835,0.32134466669825223
spatial_knn,f1_gene_macro,30,0.3203465240027088,0.24658746028020936,0.3979091977137017
train_mean,pearson_gene_macro,30,1.4337317760096638e-07,5.884222895436657e-08,2.3484460813092145e-07
train_mean,spearman_gene_macro,30,,,
train_mean,pearson_cell_macro,30,0.30527050361605573,0.25423706925232575,0.36065626858568056
train_mean,f1_gene_macro,30,0.2534433533308607,0.16919406199122344,0.34622978607086646
